Angle of Attack [deg]	Drag Coefficient Cd [-]	Angle of Attack [deg]	Drag Coefficient Cd [-]
-1.8000000e+02	6.0000150e-03	-4.0000000e+00	3.1800002e-02
-1.7900000e+02	6.5219733e-03	-3.5000000e+00	2.8689999e-02
-1.7800000e+02	8.0861468e-03	-3.0000000e+00	2.6040001e-02
-1.7700000e+02	1.0689035e-02	-2.5000000e+00	2.4890000e-02
-1.7600000e+02	1.4325877e-02	-2.0000000e+00	2.3140000e-02
-1.7500000e+02	1.8990662e-02	-1.5000000e+00	2.0870000e-02
-1.7400000e+02	2.4676135e-02	-1.0000000e+00	1.9450000e-02
-1.7300000e+02	3.1373817e-02	-5.0000000e-01	1.9050000e-02
-1.7200000e+02	3.9074011e-02	0.0000000e+00	1.8910000e-02
-1.7100000e+02	4.7765817e-02	5.0000000e-01	1.8710000e-02
-1.7000000e+02	5.7437155e-02	1.0000000e+00	1.8500000e-02
-1.6900000e+02	6.8074763e-02	1.5000000e+00	1.8209999e-02
-1.6800000e+02	7.9664253e-02	2.0000000e+00	1.7920000e-02
-1.6700000e+02	9.2190079e-02	2.5000000e+00	1.7640000e-02
-1.6600000e+02	1.0563561e-01	3.0000000e+00	1.7250000e-02
-1.6500000e+02	1.1998313e-01	3.5000000e+00	1.7309999e-02
-1.6400000e+02	1.3521384e-01	4.0000000e+00	1.7370000e-02
-1.6300000e+02	1.5130793e-01	4.5000000e+00	1.7550001e-02
-1.6200000e+02	1.6824456e-01	5.0000000e+00	1.8010000e-02
-1.6100000e+02	1.8600191e-01	5.5000000e+00	1.8619999e-02
-1.6000000e+02	2.0455723e-01	6.0000000e+00	1.9440001e-02
-1.5900000e+02	2.2388680e-01	6.5000000e+00	2.0150000e-02
-1.5800000e+02	2.4396606e-01	7.0000000e+00	2.0959999e-02
-1.5700000e+02	2.6476955e-01	7.5000000e+00	2.1940000e-02
-1.5600000e+02	2.8627098e-01	8.0000000e+00	2.2960000e-02
-1.5500000e+02	3.0844325e-01	8.5000000e+00	2.4040001e-02
-1.5400000e+02	3.3125857e-01	9.0000000e+00	2.5300000e-02
-1.5300000e+02	3.5468832e-01	9.5000000e+00	2.6480000e-02
-1.5200000e+02	3.7870327e-01	1.0000000e+01	2.7729999e-02
-1.5100000e+02	4.0327346e-01	1.0500000e+01	2.9279999e-02
-1.5000000e+02	4.2836839e-01	1.1000000e+01	3.1360000e-02
-1.4900000e+02	4.5395693e-01	1.1500000e+01	3.3840001e-02
-1.4800000e+02	4.8000741e-01	1.2000000e+01	3.6729999e-02
-1.4700000e+02	5.0648761e-01	1.2500000e+01	4.0199999e-02
-1.4600000e+02	5.3336501e-01	1.3000000e+01	4.4790000e-02
-1.4500000e+02	5.6060642e-01	1.3500000e+01	5.1290002e-02
-1.4400000e+02	5.8817846e-01	1.4000000e+01	5.9340000e-02
-1.4300000e+02	6.1604726e-01	1.4500000e+01	6.6900000e-02
