# Export File Created with QBlade CE v2.0.8.6_beta windows on 08.04.2025 at 09:49:54
CLARK_Y_AIRFOIL_Re1.000_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re1.000_M0.00_N9.0
Angle of Attack [deg]	Drag Coefficient Cd [-]	Angle of Attack [deg]	Drag Coefficient Cd [-]
-1.8000000e+02	6.0000229e-03	-4.0000000e+00	8.8499999e-03
-1.7900000e+02	6.5219812e-03	-3.5000000e+00	8.5199997e-03
-1.7800000e+02	8.0861542e-03	-3.0000000e+00	8.2799997e-03
-1.7700000e+02	1.0689042e-02	-2.5000000e+00	8.0899997e-03
-1.7600000e+02	1.4325882e-02	-2.0000000e+00	7.8800004e-03
-1.7500000e+02	1.8990666e-02	-1.5000000e+00	7.7000000e-03
-1.7400000e+02	2.4676137e-02	-1.0000000e+00	7.2699999e-03
-1.7300000e+02	3.1373817e-02	-5.0000000e-01	6.8799998e-03
-1.7200000e+02	3.9074007e-02	0.0000000e+00	6.6300002e-03
-1.7100000e+02	4.7765810e-02	5.0000000e-01	6.1100000e-03
-1.7000000e+02	5.7437140e-02	1.0000000e+00	5.5200001e-03
-1.6900000e+02	6.8074748e-02	1.5000000e+00	5.5600000e-03
-1.6800000e+02	7.9664223e-02	2.0000000e+00	5.8400002e-03
-1.6700000e+02	9.2190050e-02	2.5000000e+00	6.1100000e-03
-1.6600000e+02	1.0563558e-01	3.0000000e+00	6.4699999e-03
-1.6500000e+02	1.1998308e-01	3.5000000e+00	7.0900000e-03
-1.6400000e+02	1.3521379e-01	4.0000000e+00	7.5800000e-03
-1.6300000e+02	1.5130787e-01	4.5000000e+00	7.9800002e-03
-1.6200000e+02	1.6824448e-01	5.0000000e+00	8.3400002e-03
-1.6100000e+02	1.8600182e-01	6.0000000e+00	9.0500005e-03
-1.6000000e+02	2.0455712e-01	6.5000000e+00	9.4799995e-03
-1.5900000e+02	2.2388670e-01	7.0000000e+00	9.9499999e-03
-1.5800000e+02	2.4396594e-01	7.5000000e+00	1.0690000e-02
-1.5700000e+02	2.6476941e-01	8.0000000e+00	1.1950000e-02
-1.5600000e+02	2.8627080e-01	8.5000000e+00	1.3040000e-02
-1.5500000e+02	3.0844307e-01	9.0000000e+00	1.3900000e-02
-1.5400000e+02	3.3125836e-01	9.5000000e+00	1.5160000e-02
-1.5300000e+02	3.5468811e-01	1.0000000e+01	1.7080000e-02
-1.5200000e+02	3.7870303e-01	1.0500000e+01	1.8300001e-02
-1.5100000e+02	4.0327320e-01	1.1000000e+01	1.9680001e-02
-1.5000000e+02	4.2836809e-01	1.1500000e+01	2.1140000e-02
-1.4900000e+02	4.5395660e-01	1.2000000e+01	2.2940001e-02
-1.4800000e+02	4.8000705e-01	1.2500000e+01	2.5160000e-02
-1.4700000e+02	5.0648725e-01	1.3000000e+01	2.8330000e-02
-1.4600000e+02	5.3336453e-01	1.3500000e+01	3.2960001e-02
-1.4500000e+02	5.6060594e-01	1.4000000e+01	3.6339998e-02
-1.4400000e+02	5.8817792e-01	1.4500000e+01	4.0460002e-02
-1.4300000e+02	6.1604673e-01	1.5000000e+01	4.5440000e-02
-1.4200000e+02	6.4417821e-01	1.5500000e+01	5.1369999e-02
-1.4100000e+02	6.7253810e-01	1.6000000e+01	5.8460001e-02
-1.4000000e+02	7.0109171e-01	1.6500000e+01	6.6689998e-02
-1.3900000e+02	7.2980428e-01	1.7000000e+01	7.6010004e-02
-1.3800000e+02	7.5864089e-01	1.7500000e+01	8.6319998e-02
-1.3700000e+02	7.8756660e-01	1.8000000e+01	9.7379997e-02
-1.3600000e+02	8.1654620e-01	1.8500000e+01	1.0887000e-01
-1.3500000e+02	8.4554476e-01	1.9000000e+01	1.2054000e-01
-1.3400000e+02	8.7452704e-01	1.9500000e+01	1.3197000e-01
-1.3300000e+02	9.0345818e-01	2.0000000e+01	1.4305000e-01
-1.3200000e+02	9.3230319e-01	END	END
-1.3100000e+02	9.6102732e-01	END	END
-1.3000000e+02	9.8959601e-01	END	END
-1.2900000e+02	1.0179750e+00	END	END
-1.2800000e+02	1.0461301e+00	END	END
-1.2700000e+02	1.0740274e+00	END	END
-1.2600000e+02	1.1016338e+00	END	END
-1.2500000e+02	1.1289160e+00	END	END
-1.2400000e+02	1.1558416e+00	END	END
-1.2300000e+02	1.1823782e+00	END	END
-1.2200000e+02	1.2084942e+00	END	END
-1.2100000e+02	1.2341584e+00	END	END
-1.2000000e+02	1.2593403e+00	END	END
-1.1900000e+02	1.2840098e+00	END	END
-1.1800000e+02	1.3081377e+00	END	END
-1.1700000e+02	1.3316952e+00	END	END
-1.1600000e+02	1.3546544e+00	END	END
-1.1500000e+02	1.3769879e+00	END	END
-1.1400000e+02	1.3986694e+00	END	END
-1.1300000e+02	1.4196730e+00	END	END
-1.1200000e+02	1.4399738e+00	END	END
-1.1100000e+02	1.4595480e+00	END	END
-1.1000000e+02	1.4783722e+00	END	END
-1.0900000e+02	1.4964242e+00	END	END
-1.0800000e+02	1.5136827e+00	END	END
-1.0700000e+02	1.5301273e+00	END	END
-1.0600000e+02	1.5457385e+00	END	END
-1.0500000e+02	1.5604979e+00	END	END
-1.0400000e+02	1.5743881e+00	END	END
-1.0300000e+02	1.5873928e+00	END	END
-1.0200000e+02	1.5994965e+00	END	END
-1.0100000e+02	1.6106849e+00	END	END
-1.0000000e+02	1.6209450e+00	END	END
-9.9000000e+01	1.6302645e+00	END	END
-9.8000000e+01	1.6386327e+00	END	END
-9.7000000e+01	1.6460395e+00	END	END
-9.6000000e+01	1.6524763e+00	END	END
-9.5000000e+01	1.6579354e+00	END	END
-9.4000000e+01	1.6624105e+00	END	END
-9.3000000e+01	1.6658962e+00	END	END
-9.2000000e+01	1.6683885e+00	END	END
-9.1000000e+01	1.6698844e+00	END	END
-9.0000000e+01	1.6703821e+00	END	END
-8.9000000e+01	1.6698812e+00	END	END
-8.8000000e+01	1.6683822e+00	END	END
-8.7000000e+01	1.6658866e+00	END	END
-8.6000000e+01	1.6623977e+00	END	END
-8.5000000e+01	1.6579194e+00	END	END
-8.4000000e+01	1.6524570e+00	END	END
-8.3000000e+01	1.6460170e+00	END	END
-8.2000000e+01	1.6386067e+00	END	END
-8.1000000e+01	1.6302351e+00	END	END
-8.0000000e+01	1.6209120e+00	END	END
-7.9000000e+01	1.6106483e+00	END	END
-7.8000000e+01	1.5994560e+00	END	END
