# Export File Created with QBlade CE v2.0.8.6_beta windows on 08.04.2025 at 09:11:47
CLARK_Y_AIRFOIL_Re0.250_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re0.250_M0.00_N9.0
Angle of Attack [deg]	Drag Coefficient Cd [-]	Angle of Attack [deg]	Drag Coefficient Cd [-]
-1.8000000e+02	6.0000215e-03	-4.0000000e+00	1.6370000e-02
-1.7900000e+02	6.5219798e-03	-3.5000000e+00	1.4370000e-02
-1.7800000e+02	8.0861533e-03	-3.0000000e+00	1.3430000e-02
-1.7700000e+02	1.0689041e-02	-2.5000000e+00	1.2670000e-02
-1.7600000e+02	1.4325881e-02	-2.0000000e+00	1.1330000e-02
-1.7500000e+02	1.8990664e-02	-1.5000000e+00	1.0600000e-02
-1.7400000e+02	2.4676137e-02	-1.0000000e+00	9.4900001e-03
-1.7300000e+02	3.1373817e-02	-5.0000000e-01	8.9499997e-03
-1.7200000e+02	3.9074007e-02	0.0000000e+00	8.9100003e-03
-1.7100000e+02	4.7765814e-02	5.0000000e-01	8.9800004e-03
-1.7000000e+02	5.7437144e-02	1.0000000e+00	9.0800002e-03
-1.6900000e+02	6.8074748e-02	1.5000000e+00	9.2099998e-03
-1.6800000e+02	7.9664230e-02	2.0000000e+00	9.3799997e-03
-1.6700000e+02	9.2190057e-02	2.5000000e+00	9.5899999e-03
-1.6600000e+02	1.0563558e-01	3.0000000e+00	9.8099997e-03
-1.6500000e+02	1.1998309e-01	3.5000000e+00	1.0100000e-02
-1.6400000e+02	1.3521379e-01	4.0000000e+00	1.0490000e-02
-1.6300000e+02	1.5130787e-01	4.5000000e+00	1.1020000e-02
-1.6200000e+02	1.6824450e-01	5.0000000e+00	1.1700000e-02
-1.6100000e+02	1.8600184e-01	5.5000000e+00	1.2410000e-02
-1.6000000e+02	2.0455714e-01	6.0000000e+00	1.3080000e-02
-1.5900000e+02	2.2388671e-01	6.5000000e+00	1.3790000e-02
-1.5800000e+02	2.4396595e-01	7.0000000e+00	1.4500000e-02
-1.5700000e+02	2.6476943e-01	7.5000000e+00	1.5230000e-02
-1.5600000e+02	2.8627083e-01	8.0000000e+00	1.6000001e-02
-1.5500000e+02	3.0844310e-01	8.5000000e+00	1.6690001e-02
-1.5400000e+02	3.3125839e-01	9.0000000e+00	1.7490000e-02
-1.5300000e+02	3.5468814e-01	9.5000000e+00	1.8630000e-02
-1.5200000e+02	3.7870306e-01	1.0000000e+01	2.0420000e-02
-1.5100000e+02	4.0327325e-01	1.0500000e+01	2.2369999e-02
-1.5000000e+02	4.2836815e-01	1.1000000e+01	2.4329999e-02
-1.4900000e+02	4.5395666e-01	1.1500000e+01	2.6440000e-02
-1.4800000e+02	4.8000711e-01	1.2000000e+01	2.9360000e-02
-1.4700000e+02	5.0648731e-01	1.3000000e+01	3.8300000e-02
-1.4600000e+02	5.3336465e-01	1.3500000e+01	4.3609999e-02
-1.4500000e+02	5.6060600e-01	1.4000000e+01	5.0060000e-02
-1.4400000e+02	5.8817804e-01	1.4500000e+01	5.7799999e-02
-1.4300000e+02	6.1604685e-01	1.5000000e+01	6.6459998e-02
-1.4200000e+02	6.4417833e-01	1.5500000e+01	7.4759997e-02
-1.4100000e+02	6.7253822e-01	1.6000000e+01	8.2500003e-02
-1.4000000e+02	7.0109183e-01	1.6500000e+01	9.0520002e-02
-1.3900000e+02	7.2980440e-01	1.7000000e+01	9.8860003e-02
-1.3800000e+02	7.5864106e-01	1.7500000e+01	1.0784000e-01
-1.3700000e+02	7.8756672e-01	1.8000000e+01	1.1786000e-01
-1.3600000e+02	8.1654638e-01	1.8500000e+01	1.2892000e-01
-1.3500000e+02	8.4554493e-01	1.9000000e+01	1.4126000e-01
-1.3400000e+02	8.7452722e-01	1.9500000e+01	1.5583999e-01
-1.3300000e+02	9.0345836e-01	2.0000000e+01	1.7489000e-01
-1.3200000e+02	9.3230337e-01	END	END
-1.3100000e+02	9.6102750e-01	END	END
-1.3000000e+02	9.8959625e-01	END	END
-1.2900000e+02	1.0179752e+00	END	END
-1.2800000e+02	1.0461303e+00	END	END
-1.2700000e+02	1.0740278e+00	END	END
-1.2600000e+02	1.1016341e+00	END	END
-1.2500000e+02	1.1289164e+00	END	END
-1.2400000e+02	1.1558419e+00	END	END
-1.2300000e+02	1.1823785e+00	END	END
-1.2200000e+02	1.2084945e+00	END	END
-1.2100000e+02	1.2341588e+00	END	END
-1.2000000e+02	1.2593406e+00	END	END
-1.1900000e+02	1.2840103e+00	END	END
-1.1800000e+02	1.3081381e+00	END	END
-1.1700000e+02	1.3316957e+00	END	END
-1.1600000e+02	1.3546549e+00	END	END
-1.1500000e+02	1.3769884e+00	END	END
-1.1400000e+02	1.3986700e+00	END	END
-1.1300000e+02	1.4196736e+00	END	END
-1.1200000e+02	1.4399744e+00	END	END
-1.1100000e+02	1.4595487e+00	END	END
-1.1000000e+02	1.4783729e+00	END	END
-1.0900000e+02	1.4964250e+00	END	END
-1.0800000e+02	1.5136836e+00	END	END
-1.0700000e+02	1.5301281e+00	END	END
-1.0600000e+02	1.5457394e+00	END	END
-1.0500000e+02	1.5604988e+00	END	END
-1.0400000e+02	1.5743891e+00	END	END
-1.0300000e+02	1.5873938e+00	END	END
-1.0200000e+02	1.5994976e+00	END	END
-1.0100000e+02	1.6106861e+00	END	END
-1.0000000e+02	1.6209462e+00	END	END
-9.9000000e+01	1.6302658e+00	END	END
-9.8000000e+01	1.6386340e+00	END	END
-9.7000000e+01	1.6460409e+00	END	END
-9.6000000e+01	1.6524777e+00	END	END
-9.5000000e+01	1.6579369e+00	END	END
-9.4000000e+01	1.6624120e+00	END	END
-9.3000000e+01	1.6658978e+00	END	END
-9.2000000e+01	1.6683903e+00	END	END
-9.1000000e+01	1.6698862e+00	END	END
-9.0000000e+01	1.6703842e+00	END	END
-8.9000000e+01	1.6698833e+00	END	END
-8.8000000e+01	1.6683843e+00	END	END
-8.7000000e+01	1.6658889e+00	END	END
-8.6000000e+01	1.6624001e+00	END	END
-8.5000000e+01	1.6579219e+00	END	END
-8.4000000e+01	1.6524596e+00	END	END
-8.3000000e+01	1.6460197e+00	END	END
-8.2000000e+01	1.6386096e+00	END	END
-8.1000000e+01	1.6302382e+00	END	END
-8.0000000e+01	1.6209152e+00	END	END
-7.9000000e+01	1.6106516e+00	END	END
-7.8000000e+01	1.5994595e+00	END	END
-7.7000000e+01	1.5873522e+00	END	END
-7.6000000e+01	1.5743438e+00	END	END
-7.5000000e+01	1.5604496e+00	END	END
-7.4000000e+01	1.5456861e+00	END	END
-7.3000000e+01	1.5300707e+00	END	END
-7.2000000e+01	1.5136217e+00	END	END
-7.1000000e+01	1.4963585e+00	END	END
-7.0000000e+01	1.4783016e+00	END	END
-6.9000000e+01	1.4594724e+00	END	END
-6.8000000e+01	1.4398929e+00	END	END
-6.7000000e+01	1.4195864e+00	END	END
-6.6000000e+01	1.3985770e+00	END	END
-6.5000000e+01	1.3768892e+00	END	END
-6.4000000e+01	1.3545492e+00	END	END
-6.3000000e+01	1.3315830e+00	END	END
-6.2000000e+01	1.3080181e+00	END	END
-6.1000000e+01	1.2838824e+00	END	END
-6.0000000e+01	1.2592044e+00	END	END
-5.9000000e+01	1.2340136e+00	END	END
-5.8000000e+01	1.2083397e+00	END	END
-5.7000000e+01	1.1822135e+00	END	END
-5.6000000e+01	1.1556659e+00	END	END
-5.5000000e+01	1.1287286e+00	END	END
-5.4000000e+01	1.1014336e+00	END	END
-5.3000000e+01	1.0738134e+00	END	END
-5.2000000e+01	1.0459012e+00	END	END
-5.1000000e+01	1.0177300e+00	END	END
-5.0000000e+01	9.8933351e-01	END	END
-4.9000000e+01	9.6074575e-01	END	END
-4.8000000e+01	9.3200076e-01	END	END
-4.7000000e+01	9.0313298e-01	END	END
-4.6000000e+01	8.7417686e-01	END	END
-4.5000000e+01	8.4516704e-01	END	END
-4.4000000e+01	8.1613821e-01	END	END
-4.3000000e+01	7.8712493e-01	END	END
-4.2000000e+01	7.5816196e-01	END	END
-4.1000000e+01	7.2928381e-01	END	END
-4.0000000e+01	7.0052475e-01	END	END
-3.9000000e+01	6.7191899e-01	END	END
-3.8000000e+01	6.4350039e-01	END	END
-3.7000000e+01	6.1530232e-01	END	END
-3.6000000e+01	5.8735782e-01	END	END
-3.5000000e+01	5.5969924e-01	END	END
-3.4000000e+01	5.3235835e-01	END	END
-3.3000000e+01	5.0536585e-01	END	END
-3.2000000e+01	4.7875166e-01	END	END
-3.1000000e+01	4.5254412e-01	END	END
-3.0000000e+01	4.2677000e-01	END	END
-2.9000000e+01	4.0145400e-01	END	END
-2.8000000e+01	3.7661803e-01	END	END
-2.7000000e+01	3.5228032e-01	END	END
-2.6000000e+01	3.2845417e-01	END	END
-2.5000000e+01	3.0514613e-01	END	END
-2.4000000e+01	2.8235292e-01	END	END
-2.3000000e+01	2.6005736e-01	END	END
-2.2000000e+01	2.3822136e-01	END	END
-2.1000000e+01	2.1677566e-01	END	END
-2.0000000e+01	1.9560340e-01	END	END
-1.9000000e+01	1.7451608e-01	END	END
-1.8000000e+01	1.5322153e-01	END	END
-1.7000000e+01	1.3129818e-01	END	END
-1.6000000e+01	1.0823929e-01	END	END
-1.5000000e+01	8.3765216e-02	END	END
-1.4000000e+01	5.8753200e-02	END	END
-1.3000000e+01	3.6482964e-02	END	END
-1.2000000e+01	2.1483483e-02	END	END
-1.1000000e+01	1.4816672e-02	END	END
-1.0000000e+01	1.3095422e-02	END	END
-9.0000000e+00	1.2856837e-02	END	END
-8.0000000e+00	1.2761436e-02	END	END
-7.0000000e+00	1.2666257e-02	END	END
-6.0000000e+00	1.2571077e-02	END	END
-5.0000000e+00	1.2475898e-02	END	END
-4.0000000e+00	1.6370000e-02	END	END
-3.5000000e+00	1.4370000e-02	END	END
-3.0000000e+00	1.3430000e-02	END	END
-2.5000000e+00	1.2670000e-02	END	END
-2.0000000e+00	1.1330000e-02	END	END
-1.5000000e+00	1.0600000e-02	END	END
-1.0000000e+00	9.4900001e-03	END	END
-5.0000000e-01	8.9499997e-03	END	END
0.0000000e+00	8.9100003e-03	END	END
5.0000000e-01	8.9800004e-03	END	END
1.0000000e+00	9.0800002e-03	END	END
1.5000000e+00	9.2099998e-03	END	END
2.0000000e+00	9.3799997e-03	END	END
2.5000000e+00	9.5899999e-03	END	END
3.0000000e+00	9.8099997e-03	END	END
3.5000000e+00	1.0100000e-02	END	END
4.0000000e+00	1.0490000e-02	END	END
4.5000000e+00	1.1020000e-02	END	END
5.0000000e+00	1.1700000e-02	END	END
5.5000000e+00	1.2410000e-02	END	END
6.0000000e+00	1.3080000e-02	END	END
6.5000000e+00	1.3790000e-02	END	END
7.0000000e+00	1.4500000e-02	END	END
7.5000000e+00	1.5230000e-02	END	END
8.0000000e+00	1.6000001e-02	END	END
8.5000000e+00	1.6690001e-02	END	END
9.0000000e+00	1.7490000e-02	END	END
9.5000000e+00	1.8630000e-02	END	END
1.0000000e+01	2.0420000e-02	END	END
1.0500000e+01	2.2369999e-02	END	END
1.1000000e+01	2.4329999e-02	END	END
1.1500000e+01	2.6440000e-02	END	END
1.2000000e+01	2.9360000e-02	END	END
1.3000000e+01	3.8300000e-02	END	END
1.3500000e+01	4.3609999e-02	END	END
1.4000000e+01	5.0060000e-02	END	END
1.4500000e+01	5.7799999e-02	END	END
1.5000000e+01	6.6459998e-02	END	END
1.5500000e+01	7.4759997e-02	END	END
1.6000000e+01	8.2500003e-02	END	END
1.6500000e+01	9.0520002e-02	END	END
1.7000000e+01	9.8860003e-02	END	END
1.7500000e+01	1.0784000e-01	END	END
1.8000000e+01	1.1786000e-01	END	END
1.8500000e+01	1.2892000e-01	END	END
1.9000000e+01	1.4126000e-01	END	END
1.9500000e+01	1.5583999e-01	END	END
2.0000000e+01	1.7489000e-01	END	END
2.1000000e+01	1.6208637e-01	END	END
2.2000000e+01	1.8289624e-01	END	END
2.3000000e+01	2.0482081e-01	END	END
2.4000000e+01	2.2778191e-01	END	END
2.5000000e+01	2.5170457e-01	END	END
2.6000000e+01	2.7651772e-01	END	END
2.7000000e+01	3.0215436e-01	END	END
2.8000000e+01	3.2855168e-01	END	END
2.9000000e+01	3.5565063e-01	END	END
3.0000000e+01	3.8339576e-01	END	END
3.1000000e+01	4.1173473e-01	END	END
