Angle of Attack [deg]	Drag Coefficient Cd [-]	Angle of Attack [deg]	Drag Coefficient Cd [-]
-1.8000000e+02	6.0000150e-03	-4.0000000e+00	3.9710000e-02
-1.7900000e+02	6.5219733e-03	-3.5000000e+00	3.4710001e-02
-1.7800000e+02	8.0861468e-03	-3.0000000e+00	3.1450000e-02
-1.7700000e+02	1.0689035e-02	-2.5000000e+00	2.9549999e-02
-1.7600000e+02	1.4325877e-02	-2.0000000e+00	2.7860001e-02
-1.7500000e+02	1.8990662e-02	-1.5000000e+00	2.5990000e-02
-1.7400000e+02	2.4676135e-02	-1.0000000e+00	2.3879999e-02
-1.7300000e+02	3.1373817e-02	-5.0000000e-01	2.4370000e-02
-1.7200000e+02	3.9074011e-02	0.0000000e+00	2.4560001e-02
-1.7100000e+02	4.7765817e-02	5.0000000e-01	2.5000000e-02
-1.7000000e+02	5.7437155e-02	1.0000000e+00	2.5210001e-02
-1.6900000e+02	6.8074763e-02	1.5000000e+00	2.5180001e-02
-1.6800000e+02	7.9664253e-02	2.0000000e+00	2.4820000e-02
-1.6700000e+02	9.2190079e-02	2.5000000e+00	2.4150001e-02
-1.6600000e+02	1.0563561e-01	3.0000000e+00	2.3340000e-02
-1.6500000e+02	1.1998313e-01	3.5000000e+00	2.3110000e-02
-1.6400000e+02	1.3521384e-01	4.0000000e+00	2.2290001e-02
-1.6300000e+02	1.5130793e-01	4.5000000e+00	2.2420000e-02
-1.6200000e+02	1.6824456e-01	5.0000000e+00	2.2770001e-02
-1.6100000e+02	1.8600191e-01	5.5000000e+00	2.3159999e-02
-1.6000000e+02	2.0455723e-01	6.0000000e+00	2.4040001e-02
-1.5900000e+02	2.2388680e-01	6.5000000e+00	2.4669999e-02
-1.5800000e+02	2.4396606e-01	7.0000000e+00	2.5400000e-02
-1.5700000e+02	2.6476955e-01	7.5000000e+00	2.6200000e-02
-1.5600000e+02	2.8627098e-01	8.0000000e+00	2.7310001e-02
-1.5500000e+02	3.0844325e-01	8.5000000e+00	2.8370000e-02
-1.5400000e+02	3.3125857e-01	9.0000000e+00	2.9549999e-02
-1.5300000e+02	3.5468832e-01	9.5000000e+00	3.1220000e-02
-1.5200000e+02	3.7870327e-01	1.0000000e+01	3.2970000e-02
-1.5100000e+02	4.0327346e-01	1.0500000e+01	3.4740001e-02
-1.5000000e+02	4.2836839e-01	1.1000000e+01	3.6359999e-02
-1.4900000e+02	4.5395693e-01	1.1500000e+01	3.8419999e-02
-1.4800000e+02	4.8000741e-01	1.2000000e+01	4.0870000e-02
-1.4700000e+02	5.0648761e-01	1.2500000e+01	4.3970000e-02
-1.4600000e+02	5.3336501e-01	1.3000000e+01	4.8099998e-02
-1.4500000e+02	5.6060642e-01	1.3500000e+01	5.4049999e-02
-1.4400000e+02	5.8817846e-01	1.4000000e+01	6.1859999e-02
-1.4300000e+02	6.1604726e-01	1.4500000e+01	6.9430001e-02
-1.4200000e+02	6.4417881e-01	1.5000000e+01	7.8879997e-02
-1.4100000e+02	6.7253876e-01	1.5500000e+01	8.8990003e-02
-1.4000000e+02	7.0109236e-01	1.6000000e+01	1.0093000e-01
-1.3900000e+02	7.2980499e-01	1.6500000e+01	1.3127001e-01
-1.3800000e+02	7.5864172e-01	1.7000000e+01	1.7177001e-01
-1.3700000e+02	7.8756744e-01	1.7500000e+01	1.8950000e-01
-1.3600000e+02	8.1654716e-01	1.8000000e+01	2.1680000e-01
-1.3500000e+02	8.4554571e-01	1.9000000e+01	2.4737000e-01
-1.3400000e+02	8.7452811e-01	1.9500000e+01	2.5314999e-01
-1.3300000e+02	9.0345931e-01	END	END
-1.3200000e+02	9.3230438e-01	END	END
-1.3100000e+02	9.6102864e-01	END	END
-1.3000000e+02	9.8959738e-01	END	END
-1.2900000e+02	1.0179764e+00	END	END
-1.2800000e+02	1.0461316e+00	END	END
-1.2700000e+02	1.0740291e+00	END	END
-1.2600000e+02	1.1016356e+00	END	END
-1.2500000e+02	1.1289179e+00	END	END
-1.2400000e+02	1.1558436e+00	END	END
-1.2300000e+02	1.1823803e+00	END	END
-1.2200000e+02	1.2084965e+00	END	END
-1.2100000e+02	1.2341608e+00	END	END
-1.2000000e+02	1.2593428e+00	END	END
-1.1900000e+02	1.2840126e+00	END	END
-1.1800000e+02	1.3081405e+00	END	END
-1.1700000e+02	1.3316983e+00	END	END
-1.1600000e+02	1.3546575e+00	END	END
-1.1500000e+02	1.3769913e+00	END	END
-1.1400000e+02	1.3986729e+00	END	END
-1.1300000e+02	1.4196768e+00	END	END
-1.1200000e+02	1.4399779e+00	END	END
-1.1100000e+02	1.4595523e+00	END	END
-1.1000000e+02	1.4783767e+00	END	END
-1.0900000e+02	1.4964290e+00	END	END
-1.0800000e+02	1.5136877e+00	END	END
-1.0700000e+02	1.5301325e+00	END	END
-1.0600000e+02	1.5457441e+00	END	END
-1.0500000e+02	1.5605038e+00	END	END
-1.0400000e+02	1.5743943e+00	END	END
-1.0300000e+02	1.5873992e+00	END	END
-1.0200000e+02	1.5995033e+00	END	END
-1.0100000e+02	1.6106921e+00	END	END
-1.0000000e+02	1.6209526e+00	END	END
-9.9000000e+01	1.6302726e+00	END	END
-9.8000000e+01	1.6386412e+00	END	END
-9.7000000e+01	1.6460484e+00	END	END
-9.6000000e+01	1.6524857e+00	END	END
-9.5000000e+01	1.6579454e+00	END	END
-9.4000000e+01	1.6624210e+00	END	END
-9.3000000e+01	1.6659073e+00	END	END
-9.2000000e+01	1.6684002e+00	END	END
-9.1000000e+01	1.6698967e+00	END	END
-9.0000000e+01	1.6703951e+00	END	END
-8.9000000e+01	1.6698949e+00	END	END
-8.8000000e+01	1.6683966e+00	END	END
-8.7000000e+01	1.6659019e+00	END	END
-8.6000000e+01	1.6624137e+00	END	END
-8.5000000e+01	1.6579363e+00	END	END
-8.4000000e+01	1.6524749e+00	END	END
-8.3000000e+01	1.6460358e+00	END	END
-8.2000000e+01	1.6386266e+00	END	END
-8.1000000e+01	1.6302561e+00	END	END
-8.0000000e+01	1.6209341e+00	END	END
