# Export File Created with QBlade CE v2.0.8.6_beta windows on 07.04.2025 at 18:39:12
CLARK_Y_AIRFOIL_Re0.100_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re0.100_M0.00_N9.0
Angle of Attack [deg]	Lift Coefficient Cl [-]	Angle of Attack [deg]	Lift Coefficient Cl [-]
-1.8000000e+02	-6.7577757e-02	-4.0000000e+00	-2.5770000e-01
-1.7900000e+02	6.5975420e-02	-3.5000000e+00	-1.8510000e-01
-1.7800000e+02	1.9804972e-01	-3.0000000e+00	-1.0450000e-01
-1.7700000e+02	3.1979963e-01	-2.5000000e+00	-3.7000000e-02
-1.7600000e+02	4.1127822e-01	-2.0000000e+00	3.9099999e-02
-1.7500000e+02	4.5329797e-01	-1.5000000e+00	1.1200000e-01
-1.7400000e+02	4.4858316e-01	-1.0000000e+00	2.1050000e-01
-1.7300000e+02	4.2025515e-01	-5.0000000e-01	2.9370001e-01
-1.7200000e+02	3.9018723e-01	0.0000000e+00	3.6059999e-01
-1.7100000e+02	3.6855337e-01	5.0000000e-01	4.2469999e-01
-1.7000000e+02	3.5708013e-01	1.0000000e+00	4.8600000e-01
-1.6900000e+02	3.5415983e-01	1.5000000e+00	5.4509997e-01
-1.6800000e+02	3.5755515e-01	2.0000000e+00	6.0270000e-01
-1.6700000e+02	3.6532262e-01	2.5000000e+00	6.6030002e-01
-1.6600000e+02	3.7598497e-01	3.0000000e+00	7.1990001e-01
-1.6500000e+02	3.8847229e-01	3.5000000e+00	7.6819998e-01
-1.6400000e+02	4.0202120e-01	4.0000000e+00	8.1999999e-01
-1.6300000e+02	4.1608697e-01	4.5000000e+00	8.7080002e-01
-1.6200000e+02	4.3027833e-01	5.0000000e+00	9.2089999e-01
-1.6100000e+02	4.4431168e-01	5.5000000e+00	9.7180003e-01
-1.6000000e+02	4.5797929e-01	6.0000000e+00	1.0172000e+00
-1.5900000e+02	4.7112784e-01	6.5000000e+00	1.0628999e+00
-1.5800000e+02	4.8364326e-01	7.0000000e+00	1.1081001e+00
-1.5700000e+02	4.9544069e-01	7.5000000e+00	1.1551000e+00
-1.5600000e+02	5.0645685e-01	8.0000000e+00	1.1957000e+00
-1.5500000e+02	5.1664513e-01	8.5000000e+00	1.2376000e+00
-1.5400000e+02	5.2597165e-01	9.0000000e+00	1.2732000e+00
-1.5300000e+02	5.3441268e-01	9.5000000e+00	1.3004000e+00
-1.5200000e+02	5.4195261e-01	1.0000000e+01	1.3180000e+00
-1.5100000e+02	5.4858243e-01	1.0500000e+01	1.3298000e+00
-1.5000000e+02	5.5429858e-01	1.1000000e+01	1.3410000e+00
-1.4900000e+02	5.5910182e-01	1.1500000e+01	1.3545001e+00
-1.4800000e+02	5.6299710e-01	1.2000000e+01	1.3633000e+00
-1.4700000e+02	5.6599236e-01	1.2500000e+01	1.3665000e+00
-1.4600000e+02	5.6809855e-01	1.3000000e+01	1.3591000e+00
-1.4500000e+02	5.6932896e-01	1.3500000e+01	1.3398000e+00
-1.4400000e+02	5.6969905e-01	1.4000000e+01	1.3152000e+00
-1.4300000e+02	5.6922621e-01	1.4500000e+01	1.2993000e+00
-1.4200000e+02	5.6792927e-01	1.5000000e+01	1.2927001e+00
-1.4100000e+02	5.6582874e-01	1.5500000e+01	1.2908000e+00
-1.4000000e+02	5.6294608e-01	1.6000000e+01	1.2790000e+00
-1.3900000e+02	5.5930412e-01	1.6500000e+01	1.2654001e+00
-1.3800000e+02	5.5492634e-01	1.7000000e+01	1.2558000e+00
-1.3700000e+02	5.4983711e-01	1.7500000e+01	1.2388999e+00
-1.3600000e+02	5.4406148e-01	1.8500000e+01	9.9400002e-01
-1.3500000e+02	5.3762490e-01	1.9500000e+01	9.8509997e-01
-1.3400000e+02	5.3055334e-01	END	END
-1.3300000e+02	5.2287304e-01	END	END
-1.3200000e+02	5.1461035e-01	END	END
-1.3100000e+02	5.0579178e-01	END	END
-1.3000000e+02	4.9644390e-01	END	END
-1.2900000e+02	4.8659310e-01	END	END
-1.2800000e+02	4.7626564e-01	END	END
-1.2700000e+02	4.6548757e-01	END	END
-1.2600000e+02	4.5428461e-01	END	END
-1.2500000e+02	4.4268215e-01	END	END
-1.2400000e+02	4.3070510e-01	END	END
-1.2300000e+02	4.1837788e-01	END	END
-1.2200000e+02	4.0572444e-01	END	END
-1.2100000e+02	3.9276809e-01	END	END
-1.2000000e+02	3.7953150e-01	END	END
-1.1900000e+02	3.6603674e-01	END	END
-1.1800000e+02	3.5230511e-01	END	END
-1.1700000e+02	3.3835727e-01	END	END
-1.1600000e+02	3.2421312e-01	END	END
-1.1500000e+02	3.0989173e-01	END	END
-1.1400000e+02	2.9541150e-01	END	END
-1.1300000e+02	2.8078994e-01	END	END
-1.1200000e+02	2.6604387e-01	END	END
-1.1100000e+02	2.5118929e-01	END	END
-1.1000000e+02	2.3624140e-01	END	END
-1.0900000e+02	2.2065219e-01	END	END
-1.0800000e+02	2.0557587e-01	END	END
-1.0700000e+02	1.9044620e-01	END	END
-1.0600000e+02	1.7527543e-01	END	END
-1.0500000e+02	1.6007507e-01	END	END
-1.0400000e+02	1.4485596e-01	END	END
-1.0300000e+02	1.2962827e-01	END	END
-1.0200000e+02	1.1440153e-01	END	END
-1.0100000e+02	9.9184670e-02	END	END
-1.0000000e+02	8.3986066e-02	END	END
-9.9000000e+01	6.8813540e-02	END	END
-9.8000000e+01	5.3674437e-02	END	END
-9.7000000e+01	3.8575642e-02	END	END
-9.6000000e+01	2.3523627e-02	END	END
-9.5000000e+01	8.5244933e-03	END	END
-9.4000000e+01	-6.4159846e-03	END	END
-9.3000000e+01	-2.1292318e-02	END	END
-9.2000000e+01	-3.6099259e-02	END	END
-9.1000000e+01	-5.0831761e-02	END	END
-9.0000000e+01	-6.5484926e-02	END	END
-8.9000000e+01	-8.0053963e-02	END	END
-8.8000000e+01	-9.4534166e-02	END	END
-8.7000000e+01	-1.0892083e-01	END	END
-8.6000000e+01	-1.2320927e-01	END	END
-8.5000000e+01	-1.3739470e-01	END	END
-8.4000000e+01	-1.5147226e-01	END	END
-8.3000000e+01	-1.6543695e-01	END	END
-8.2000000e+01	-1.7928363e-01	END	END
-8.1000000e+01	-1.9300692e-01	END	END
-8.0000000e+01	-2.0660122e-01	END	END
-7.9000000e+01	-2.2006066e-01	END	END
-7.8000000e+01	-2.3337908e-01	END	END
-7.7000000e+01	-2.4654998e-01	END	END
-7.6000000e+01	-2.5956655e-01	END	END
-7.5000000e+01	-2.7242154e-01	END	END
-7.4000000e+01	-2.8510746e-01	END	END
-7.3000000e+01	-2.9761624e-01	END	END
-7.2000000e+01	-3.0993953e-01	END	END
-7.1000000e+01	-3.2206848e-01	END	END
-7.0000000e+01	-3.3399385e-01	END	END
-6.9000000e+01	-3.4570596e-01	END	END
-6.8000000e+01	-3.5719460e-01	END	END
-6.7000000e+01	-3.6844927e-01	END	END
-6.6000000e+01	-3.7945890e-01	END	END
-6.5000000e+01	-3.9021209e-01	END	END
-6.4000000e+01	-4.0069693e-01	END	END
-6.3000000e+01	-4.1090116e-01	END	END
-6.2000000e+01	-4.2081210e-01	END	END
-6.1000000e+01	-4.3041667e-01	END	END
-6.0000000e+01	-4.3970147e-01	END	END
-5.9000000e+01	-4.4865277e-01	END	END
-5.8000000e+01	-4.5725653e-01	END	END
-5.7000000e+01	-4.6549839e-01	END	END
-5.6000000e+01	-4.7336373e-01	END	END
-5.5000000e+01	-4.8083782e-01	END	END
-5.4000000e+01	-4.8790565e-01	END	END
-5.3000000e+01	-4.9455211e-01	END	END
-5.2000000e+01	-5.0076199e-01	END	END
-5.1000000e+01	-5.0652009e-01	END	END
-5.0000000e+01	-5.1181108e-01	END	END
-4.9000000e+01	-5.1661986e-01	END	END
-4.8000000e+01	-5.2093124e-01	END	END
-4.7000000e+01	-5.2473044e-01	END	END
-4.6000000e+01	-5.2800268e-01	END	END
-4.5000000e+01	-5.3073364e-01	END	END
-4.4000000e+01	-5.3290939e-01	END	END
-4.3000000e+01	-5.3451633e-01	END	END
-4.2000000e+01	-5.3554165e-01	END	END
-4.1000000e+01	-5.3597313e-01	END	END
-4.0000000e+01	-5.3579921e-01	END	END
-3.9000000e+01	-5.3500944e-01	END	END
-3.8000000e+01	-5.3359449e-01	END	END
-3.7000000e+01	-5.3154629e-01	END	END
-3.6000000e+01	-5.2885830e-01	END	END
-3.5000000e+01	-5.2552587e-01	END	END
