Angle of Attack [deg]	Lift Coefficient Cl [-]	Angle of Attack [deg]	Lift Coefficient Cl [-]
-1.8000000e+02	2.7392288e-03	-4.0000000e+00	-4.0650001e-01
-1.7900000e+02	8.8344134e-02	-3.5000000e+00	-3.6610001e-01
-1.7800000e+02	1.7391421e-01	-3.0000000e+00	-3.2020000e-01
-1.7700000e+02	2.5857982e-01	-2.5000000e+00	-2.7010000e-01
-1.7600000e+02	3.3840716e-01	-2.0000000e+00	-2.1690001e-01
-1.7500000e+02	4.0517479e-01	-1.5000000e+00	-1.7030001e-01
-1.7400000e+02	4.4956261e-01	-1.0000000e+00	-8.8500001e-02
-1.7300000e+02	4.6867120e-01	-5.0000000e-01	-4.5800000e-02
-1.7200000e+02	4.6953586e-01	0.0000000e+00	-7.6000001e-03
-1.7100000e+02	4.6342286e-01	5.0000000e-01	2.9200001e-02
-1.7000000e+02	4.5869276e-01	1.0000000e+00	6.4700000e-02
-1.6900000e+02	4.5896837e-01	1.5000000e+00	9.8700002e-02
-1.6800000e+02	4.6474838e-01	2.0000000e+00	1.3120000e-01
-1.6700000e+02	4.7521695e-01	2.5000000e+00	1.6180000e-01
-1.6600000e+02	4.8925352e-01	3.0000000e+00	1.9050001e-01
-1.6500000e+02	5.0583237e-01	3.5000000e+00	2.1750000e-01
-1.6400000e+02	5.2412689e-01	4.0000000e+00	2.4310000e-01
-1.6300000e+02	5.4350334e-01	4.5000000e+00	2.6809999e-01
-1.6200000e+02	5.6348407e-01	5.0000000e+00	2.9260001e-01
-1.6100000e+02	5.8370936e-01	5.5000000e+00	3.1690001e-01
-1.6000000e+02	6.0390645e-01	6.0000000e+00	3.4110001e-01
-1.5900000e+02	6.2386578e-01	6.5000000e+00	3.6480001e-01
-1.5800000e+02	6.4342403e-01	7.0000000e+00	3.8800001e-01
-1.5700000e+02	6.6245186e-01	7.5000000e+00	4.1060001e-01
-1.5600000e+02	6.8084550e-01	8.5000000e+00	4.5370001e-01
-1.5500000e+02	6.9851995e-01	9.0000000e+00	4.7389999e-01
-1.5400000e+02	7.1540517e-01	9.5000000e+00	4.9320000e-01
-1.5300000e+02	7.3144233e-01	1.0500000e+01	5.9210002e-01
-1.5200000e+02	7.4658185e-01	1.1000000e+01	6.1970001e-01
-1.5100000e+02	7.6078135e-01	1.2000000e+01	6.8940002e-01
-1.5000000e+02	7.7400458e-01	1.2500000e+01	6.9849998e-01
-1.4900000e+02	7.8622031e-01	1.3000000e+01	4.7670001e-01
-1.4800000e+02	7.9740173e-01	1.3500000e+01	4.9559999e-01
-1.4700000e+02	8.0752587e-01	1.4000000e+01	5.0239998e-01
-1.4600000e+02	8.1657302e-01	1.4500000e+01	5.1270002e-01
-1.4500000e+02	8.2452667e-01	1.5000000e+01	7.9850000e-01
-1.4400000e+02	8.3137304e-01	1.5500000e+01	8.1580001e-01
