CLARK_Y_AIRFOIL_Re0.045_M0.00_N9.0 360 M	
Angle of Attack [deg]	Lift Coefficient Cl [-]	Angle of Attack [deg]	Lift Coefficient Cl [-]
-1.8000000e+02	1.5140437e-03	-4.0000000e+00	-3.7869999e-01
-1.7900000e+02	1.6186093e-01	-3.5000000e+00	-3.3129999e-01
-1.7800000e+02	3.2218787e-01	-3.0000000e+00	-2.8290001e-01
-1.7700000e+02	4.8035091e-01	-2.5000000e+00	-2.3340000e-01
-1.7600000e+02	6.2143600e-01	-2.0000000e+00	-1.8269999e-01
-1.7500000e+02	7.1168685e-01	-1.5000000e+00	-1.3470000e-01
-1.7400000e+02	7.2342968e-01	-1.0000000e+00	-8.0100000e-02
-1.7300000e+02	6.7239845e-01	-5.0000000e-01	-4.6700001e-02
-1.7200000e+02	6.0263777e-01	0.0000000e+00	-6.8999999e-03
-1.7100000e+02	5.4482377e-01	5.0000000e-01	8.3600000e-02
-1.7000000e+02	5.0753713e-01	1.0000000e+00	1.9030000e-01
-1.6900000e+02	4.8846647e-01	1.5000000e+00	2.6679999e-01
-1.6800000e+02	4.8284680e-01	2.0000000e+00	3.4000000e-01
-1.6700000e+02	4.8649180e-01	2.5000000e+00	4.1080001e-01
-1.6600000e+02	4.9633753e-01	3.0000000e+00	4.7909999e-01
-1.6500000e+02	5.1026827e-01	3.5000000e+00	5.5140001e-01
-1.6400000e+02	5.2684295e-01	4.0000000e+00	6.1220002e-01
-1.6300000e+02	5.4507434e-01	4.5000000e+00	6.5149999e-01
-1.6200000e+02	5.6427628e-01	5.0000000e+00	7.0929998e-01
-1.6100000e+02	5.8396250e-01	5.5000000e+00	7.5029999e-01
-1.6000000e+02	6.0378122e-01	6.0000000e+00	7.5910002e-01
-1.5900000e+02	6.2347233e-01	6.5000000e+00	7.8520000e-01
-1.5800000e+02	6.4283955e-01	7.0000000e+00	8.1830001e-01
-1.5700000e+02	6.6173130e-01	7.5000000e+00	8.7419999e-01
-1.5600000e+02	6.8002856e-01	8.0000000e+00	8.6320001e-01
-1.5500000e+02	6.9763595e-01	8.5000000e+00	8.7709999e-01
-1.5400000e+02	7.1447581e-01	9.0000000e+00	1.1466000e+00
-1.5300000e+02	7.3048407e-01	9.5000000e+00	1.2067000e+00
-1.5200000e+02	7.4560714e-01	1.0000000e+01	1.2466000e+00
-1.5100000e+02	7.5979978e-01	1.0500000e+01	1.2106000e+00
-1.5000000e+02	7.7302349e-01	1.7500000e+01	9.2540002e-01
-1.4900000e+02	7.8524554e-01	1.8000000e+01	9.4639999e-01
-1.4800000e+02	7.9643780e-01	1.8500000e+01	9.4779998e-01
-1.4700000e+02	8.0657631e-01	1.9000000e+01	9.6869999e-01
-1.4600000e+02	8.1564063e-01	1.9500000e+01	6.5799999e-01
-1.4500000e+02	8.2361364e-01	2.0000000e+01	9.9059999e-01
-1.4400000e+02	8.3048105e-01		
-1.4300000e+02	8.3623135e-01		
-1.4200000e+02	8.4085542e-01		
-1.4100000e+02	8.4434652e-01		
-1.4000000e+02	8.4670013e-01		
-1.3900000e+02	8.4791392e-01		
-1.3800000e+02	8.4798741e-01		
-1.3700000e+02	8.4692228e-01		
-1.3600000e+02	8.4472197e-01		
-1.3500000e+02	8.4139174e-01		
-1.3400000e+02	8.3693862e-01		
-1.3300000e+02	8.3137143e-01		
-1.3200000e+02	8.2470053e-01		
-1.3100000e+02	8.1693804e-01		
-1.3000000e+02	8.0809742e-01		
-1.2900000e+02	7.9819393e-01		
-1.2800000e+02	7.8724402e-01		
-1.2700000e+02	7.7526575e-01		
-1.2600000e+02	7.6227850e-01		
-1.2500000e+02	7.4830294e-01		
-1.2400000e+02	7.3336101e-01		
-1.2300000e+02	7.1747601e-01		
-1.2200000e+02	7.0067221e-01		
-1.2100000e+02	6.8297517e-01		
-1.2000000e+02	6.6441149e-01		
-1.1900000e+02	6.4500868e-01		
-1.1800000e+02	6.2479544e-01		
-1.1700000e+02	6.0380113e-01		
-1.1600000e+02	5.8205622e-01		
-1.1500000e+02	5.5959189e-01		
-1.1400000e+02	5.3643996e-01		
-1.1300000e+02	5.1263314e-01		
-1.1200000e+02	4.8820475e-01		
-1.1100000e+02	4.6318862e-01		
-1.1000000e+02	4.3761921e-01		
-1.0900000e+02	4.1153142e-01		
-1.0800000e+02	3.8445032e-01		
-1.0700000e+02	3.5744572e-01		
-1.0600000e+02	3.3002898e-01		
-1.0500000e+02	3.0223650e-01		
-1.0400000e+02	2.7410489e-01		
-1.0300000e+02	2.4567094e-01		
-1.0200000e+02	2.1697155e-01		
-1.0100000e+02	1.8804365e-01		
-1.0000000e+02	1.5892425e-01		
-9.9000000e+01	1.2965031e-01		
-9.8000000e+01	1.0025869e-01		
-9.7000000e+01	7.0786148e-02		
-9.6000000e+01	4.1269243e-02		
-9.5000000e+01	1.1744341e-02		
-9.4000000e+01	-1.7752459e-02		
-9.3000000e+01	-4.7185365e-02		
-9.2000000e+01	-7.6518923e-02		
-9.1000000e+01	-1.0571808e-01		
-9.0000000e+01	-1.3474818e-01		
-8.9000000e+01	-1.6357507e-01		
-8.8000000e+01	-1.9216505e-01		
-8.7000000e+01	-2.2048499e-01		
-8.6000000e+01	-2.4850233e-01		
-8.5000000e+01	-2.7618507e-01		
-8.4000000e+01	-3.0350190e-01		
-8.3000000e+01	-3.3042216e-01		
-8.2000000e+01	-3.5691586e-01		
-8.1000000e+01	-3.8295373e-01		
-8.0000000e+01	-4.0850726e-01		
-7.9000000e+01	-4.3354872e-01		
-7.8000000e+01	-4.5805115e-01		
-7.7000000e+01	-4.8198843e-01		
-7.6000000e+01	-5.0533527e-01		
-7.5000000e+01	-5.2806717e-01		
-7.4000000e+01	-5.5016071e-01		
-7.3000000e+01	-5.7159305e-01		
-7.2000000e+01	-5.9234256e-01		
-7.1000000e+01	-6.1238831e-01		
-7.0000000e+01	-6.3171041e-01		
-6.9000000e+01	-6.5028989e-01		
-6.8000000e+01	-6.6810876e-01		
-6.7000000e+01	-6.8514991e-01		
-6.6000000e+01	-7.0139736e-01		
-6.5000000e+01	-7.1683598e-01		
-6.4000000e+01	-7.3145163e-01		
-6.3000000e+01	-7.4523121e-01		
-6.2000000e+01	-7.5816262e-01		
-6.1000000e+01	-7.7023470e-01		
-6.0000000e+01	-7.8143740e-01		
-5.9000000e+01	-7.9176158e-01		
-5.8000000e+01	-8.0119908e-01		
-5.7000000e+01	-8.0974281e-01		
-5.6000000e+01	-8.1738669e-01		
-5.5000000e+01	-8.2412565e-01		
-5.4000000e+01	-8.2995552e-01		
-5.3000000e+01	-8.3487326e-01		
-5.2000000e+01	-8.3887672e-01		
-5.1000000e+01	-8.4196490e-01		
-5.0000000e+01	-8.4413761e-01		
-4.9000000e+01	-8.4539580e-01		
-4.8000000e+01	-8.4574139e-01		
-4.7000000e+01	-8.4517717e-01		
-4.6000000e+01	-8.4370714e-01		
-4.5000000e+01	-8.4133619e-01		
-4.4000000e+01	-8.3807015e-01		
-4.3000000e+01	-8.3391607e-01		
-4.2000000e+01	-8.2888186e-01		
-4.1000000e+01	-8.2297659e-01		
-4.0000000e+01	-8.1621045e-01		
-3.9000000e+01	-8.0859458e-01		
-3.8000000e+01	-8.0014145e-01		
-3.7000000e+01	-7.9086477e-01		
