# Export File Created with QBlade CE v2.0.8.6_beta windows on 08.04.2025 at 09:46:37
CLARK_Y_AIRFOIL_Re0.500_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re0.500_M0.00_N9.0
Angle of Attack [deg]	Lift Coefficient Cl [-]	Angle of Attack [deg]	Lift Coefficient Cl [-]
-1.8000000e+02	-1.0905049e-01	-4.0000000e+00	-3.6300000e-02
-1.7900000e+02	-6.1230134e-02	-3.5000000e+00	1.6899999e-02
-1.7800000e+02	-1.9831920e-02	-3.0000000e+00	7.0799999e-02
-1.7700000e+02	1.6963473e-02	-2.5000000e+00	1.2460000e-01
-1.7600000e+02	5.0491445e-02	-2.0000000e+00	1.7880000e-01
-1.7500000e+02	8.1675939e-02	-1.5000000e+00	2.3090000e-01
-1.7400000e+02	1.1113004e-01	-1.0000000e+00	2.8420001e-01
-1.7300000e+02	1.3924685e-01	-5.0000000e-01	3.3530000e-01
-1.7200000e+02	1.6626960e-01	0.0000000e+00	3.8000000e-01
-1.7100000e+02	1.9234210e-01	5.0000000e-01	4.4159999e-01
-1.7000000e+02	2.1754332e-01	1.0000000e+00	5.4380000e-01
-1.6900000e+02	2.4191067e-01	1.5000000e+00	5.9350002e-01
-1.6800000e+02	2.6545545e-01	2.0000000e+00	6.4260000e-01
-1.6700000e+02	2.8817308e-01	2.5000000e+00	6.9139999e-01
-1.6600000e+02	3.1004971e-01	3.0000000e+00	7.3890001e-01
-1.6500000e+02	3.3106661e-01	3.5000000e+00	7.8579998e-01
-1.6400000e+02	3.5120296e-01	4.0000000e+00	8.3069998e-01
-1.6300000e+02	3.7043783e-01	4.5000000e+00	8.7550002e-01
-1.6200000e+02	3.8875115e-01	5.0000000e+00	9.2189997e-01
-1.6100000e+02	4.0612465e-01	5.5000000e+00	9.6980000e-01
-1.6000000e+02	4.2254218e-01	6.0000000e+00	1.0188000e+00
-1.5900000e+02	4.3799007e-01	6.5000000e+00	1.0674000e+00
-1.5800000e+02	4.5245719e-01	7.0000000e+00	1.1154000e+00
-1.5700000e+02	4.6593505e-01	7.5000000e+00	1.1630000e+00
-1.5600000e+02	4.7841781e-01	8.0000000e+00	1.2084000e+00
-1.5500000e+02	4.8990220e-01	8.5000000e+00	1.2491000e+00
-1.5400000e+02	5.0038737e-01	9.0000000e+00	1.2810000e+00
-1.5300000e+02	5.0987506e-01	9.5000000e+00	1.3123000e+00
-1.5200000e+02	5.1836932e-01	1.0000000e+01	1.3439000e+00
-1.5100000e+02	5.2587628e-01	1.0500000e+01	1.3716000e+00
-1.5000000e+02	5.3240442e-01	1.1000000e+01	1.3803999e+00
-1.4900000e+02	5.3796405e-01	1.1500000e+01	1.4023000e+00
-1.4800000e+02	5.4256761e-01	1.2000000e+01	1.4198999e+00
-1.4700000e+02	5.4622906e-01	1.2500000e+01	1.4313999e+00
-1.4600000e+02	5.4896432e-01	1.3000000e+01	1.4355000e+00
-1.4500000e+02	5.5079067e-01	1.3500000e+01	1.4304000e+00
-1.4400000e+02	5.5172694e-01	1.4000000e+01	1.4136000e+00
-1.4300000e+02	5.5179328e-01	1.4500000e+01	1.3983001e+00
-1.4200000e+02	5.5101109e-01	1.5000000e+01	1.3983999e+00
-1.4100000e+02	5.4940283e-01	1.5500000e+01	1.3914000e+00
-1.4000000e+02	5.4699200e-01	1.6000000e+01	1.3792000e+00
-1.3900000e+02	5.4380298e-01	1.6500000e+01	1.3648000e+00
-1.3800000e+02	5.3986090e-01	1.7000000e+01	1.3493000e+00
-1.3700000e+02	5.3519166e-01	1.7500000e+01	1.3336999e+00
-1.3600000e+02	5.2982157e-01	1.8000000e+01	1.3176000e+00
-1.3500000e+02	5.2377754e-01	1.8500000e+01	1.3025000e+00
-1.3400000e+02	5.1708674e-01	1.9000000e+01	1.2873000e+00
-1.3300000e+02	5.0977665e-01	1.9500000e+01	1.2726001e+00
-1.3200000e+02	5.0187486e-01	2.0000000e+01	1.2587000e+00
-1.3100000e+02	4.9340922e-01	END	END
-1.3000000e+02	4.8440731e-01	END	END
-1.2900000e+02	4.7489676e-01	END	END
-1.2800000e+02	4.6490499e-01	END	END
-1.2700000e+02	4.5445910e-01	END	END
-1.2600000e+02	4.4358596e-01	END	END
-1.2500000e+02	4.3231198e-01	END	END
-1.2400000e+02	4.2066309e-01	END	END
-1.2300000e+02	4.0866467e-01	END	END
-1.2200000e+02	3.9420468e-01	END	END
-1.2100000e+02	3.8165063e-01	END	END
-1.2000000e+02	3.6881632e-01	END	END
-1.1900000e+02	3.5572481e-01	END	END
-1.1800000e+02	3.4239826e-01	END	END
-1.1700000e+02	3.2885811e-01	END	END
-1.1600000e+02	3.1512493e-01	END	END
-1.1500000e+02	3.0121854e-01	END	END
-1.1400000e+02	2.8715777e-01	END	END
-1.1300000e+02	2.7296072e-01	END	END
-1.1200000e+02	2.5864455e-01	END	END
-1.1100000e+02	2.4422552e-01	END	END
-1.1000000e+02	2.2971909e-01	END	END
-1.0900000e+02	2.1513982e-01	END	END
-1.0800000e+02	2.0050143e-01	END	END
-1.0700000e+02	1.8581681e-01	END	END
-1.0600000e+02	1.7109805e-01	END	END
-1.0500000e+02	1.5635644e-01	END	END
-1.0400000e+02	1.4160252e-01	END	END
-1.0300000e+02	1.2684608e-01	END	END
-1.0200000e+02	1.1209624e-01	END	END
-1.0100000e+02	9.7361468e-02	END	END
-1.0000000e+02	8.2649574e-02	END	END
-9.9000000e+01	6.7967825e-02	END	END
-9.8000000e+01	5.3322919e-02	END	END
-9.7000000e+01	3.8721096e-02	END	END
-9.6000000e+01	2.4168126e-02	END	END
-9.5000000e+01	9.6693942e-03	END	END
-9.4000000e+01	-4.7700685e-03	END	END
-9.3000000e+01	-1.9145530e-02	END	END
-9.2000000e+01	-3.3452511e-02	END	END
-9.1000000e+01	-4.7686726e-02	END	END
-9.0000000e+01	-6.1844051e-02	END	END
-8.9000000e+01	-7.5920455e-02	END	END
-8.8000000e+01	-8.9911968e-02	END	END
-8.7000000e+01	-1.0381461e-01	END	END
-8.6000000e+01	-1.1762438e-01	END	END
-8.5000000e+01	-1.3133717e-01	END	END
-8.4000000e+01	-1.4494875e-01	END	END
-8.3000000e+01	-1.5845472e-01	END	END
-8.2000000e+01	-1.7185046e-01	END	END
-8.1000000e+01	-1.8513109e-01	END	END
-8.0000000e+01	-1.9829144e-01	END	END
-7.9000000e+01	-2.1132605e-01	END	END
-7.8000000e+01	-2.2422904e-01	END	END
-7.7000000e+01	-2.3699422e-01	END	END
-7.6000000e+01	-2.4961494e-01	END	END
-7.5000000e+01	-2.6208413e-01	END	END
-7.4000000e+01	-2.7439427e-01	END	END
-7.3000000e+01	-2.8653738e-01	END	END
-7.2000000e+01	-2.9850498e-01	END	END
-7.1000000e+01	-3.1028810e-01	END	END
-7.0000000e+01	-3.2187727e-01	END	END
-6.9000000e+01	-3.3326253e-01	END	END
-6.8000000e+01	-3.4443340e-01	END	END
-6.7000000e+01	-3.5537890e-01	END	END
-6.6000000e+01	-3.6608753e-01	END	END
-6.5000000e+01	-3.7654734e-01	END	END
-6.4000000e+01	-3.8674590e-01	END	END
-6.3000000e+01	-3.9667031e-01	END	END
-6.2000000e+01	-4.0630722e-01	END	END
-6.1000000e+01	-4.1564286e-01	END	END
-6.0000000e+01	-4.2466313e-01	END	END
-5.9000000e+01	-4.3335348e-01	END	END
-5.8000000e+01	-4.4169912e-01	END	END
-5.7000000e+01	-4.4968489e-01	END	END
-5.6000000e+01	-4.5729545e-01	END	END
-5.5000000e+01	-4.6451515e-01	END	END
-5.4000000e+01	-4.7132832e-01	END	END
-5.3000000e+01	-4.7771907e-01	END	END
-5.2000000e+01	-4.8367146e-01	END	END
-5.1000000e+01	-4.8916960e-01	END	END
-5.0000000e+01	-4.9419761e-01	END	END
-4.9000000e+01	-4.9873978e-01	END	END
-4.8000000e+01	-5.0278062e-01	END	END
-4.7000000e+01	-5.0630480e-01	END	END
-4.6000000e+01	-5.0929761e-01	END	END
-4.5000000e+01	-5.1174462e-01	END	END
-4.4000000e+01	-5.1363206e-01	END	END
-4.3000000e+01	-5.1494682e-01	END	END
-4.2000000e+01	-5.1567674e-01	END	END
-4.1000000e+01	-5.1581067e-01	END	END
-4.0000000e+01	-5.1533872e-01	END	END
-3.9000000e+01	-5.1425248e-01	END	END
-3.8000000e+01	-5.1254529e-01	END	END
-3.7000000e+01	-5.1021284e-01	END	END
-3.6000000e+01	-5.0725323e-01	END	END
-3.5000000e+01	-5.0366807e-01	END	END
-3.4000000e+01	-4.9946305e-01	END	END
-3.3000000e+01	-4.9464893e-01	END	END
-3.2000000e+01	-4.8924318e-01	END	END
-3.1000000e+01	-4.8327193e-01	END	END
-3.0000000e+01	-4.7677258e-01	END	END
-2.9000000e+01	-4.6979797e-01	END	END
-2.8000000e+01	-4.6242172e-01	END	END
-2.7000000e+01	-4.5474640e-01	END	END
-2.6000000e+01	-4.4691563e-01	END	END
-2.5000000e+01	-4.3913212e-01	END	END
-2.4000000e+01	-4.3168554e-01	END	END
-2.3000000e+01	-4.2499569e-01	END	END
-2.2000000e+01	-4.1968149e-01	END	END
-2.1000000e+01	-4.1667128e-01	END	END
-2.0000000e+01	-4.1738102e-01	END	END
-1.9000000e+01	-4.2399746e-01	END	END
-1.8000000e+01	-4.3990359e-01	END	END
-1.7000000e+01	-4.7020632e-01	END	END
-1.6000000e+01	-5.2195477e-01	END	END
-1.5000000e+01	-6.0239011e-01	END	END
-1.4000000e+01	-7.1112162e-01	END	END
-1.3000000e+01	-8.2395446e-01	END	END
-1.2000000e+01	-8.8903284e-01	END	END
-1.1000000e+01	-8.6985302e-01	END	END
-1.0000000e+01	-7.8412032e-01	END	END
-9.0000000e+00	-6.7159039e-01	END	END
