Angle of Attack [deg]	Lift Coefficient Cl [-]	Angle of Attack [deg]	Lift Coefficient Cl [-]
-1.8000000e+02	-4.7391534e-02	-4.0000000e+00	-3.7040001e-01
-1.7900000e+02	8.7667607e-02	-3.5000000e+00	-3.1729999e-01
-1.7800000e+02	2.2215104e-01	-3.0000000e+00	-2.2810000e-01
-1.7700000e+02	3.5007402e-01	-2.5000000e+00	-1.4579999e-01
-1.7600000e+02	4.5352104e-01	-2.0000000e+00	-6.3400000e-02
-1.7500000e+02	5.0894195e-01	-1.5000000e+00	1.3200000e-02
-1.7400000e+02	5.1049477e-01	-1.0000000e+00	8.2900003e-02
-1.7300000e+02	4.7921941e-01	-5.0000000e-01	1.7700000e-01
-1.7200000e+02	4.4178042e-01	0.0000000e+00	2.6750001e-01
-1.7100000e+02	4.1282180e-01	5.0000000e-01	3.2820001e-01
-1.7000000e+02	3.9580065e-01	1.0000000e+00	3.9660001e-01
-1.6900000e+02	3.8922155e-01	1.5000000e+00	4.6709999e-01
-1.6800000e+02	3.9046115e-01	2.0000000e+00	5.3719997e-01
-1.6700000e+02	3.9716238e-01	2.5000000e+00	6.0780001e-01
-1.6600000e+02	4.0752786e-01	3.0000000e+00	6.7809999e-01
-1.6500000e+02	4.2026356e-01	3.5000000e+00	7.3189998e-01
-1.6400000e+02	4.3445405e-01	4.0000000e+00	8.0010003e-01
-1.6300000e+02	4.4945189e-01	4.5000000e+00	8.5130000e-01
-1.6200000e+02	4.6479541e-01	5.0000000e+00	9.0259999e-01
-1.6100000e+02	4.8015150e-01	5.5000000e+00	9.5810002e-01
-1.6000000e+02	4.9527678e-01	6.0000000e+00	1.0046000e+00
-1.5900000e+02	5.0999105e-01	6.5000000e+00	1.0576000e+00
-1.5800000e+02	5.2415961e-01	7.0000000e+00	1.1004000e+00
-1.5700000e+02	5.3768045e-01	7.5000000e+00	1.1464000e+00
-1.5600000e+02	5.5047619e-01	8.0000000e+00	1.1891000e+00
-1.5500000e+02	5.6248766e-01	8.5000000e+00	1.2319000e+00
-1.5400000e+02	5.7366991e-01	9.0000000e+00	1.2754000e+00
-1.5300000e+02	5.8398879e-01	9.5000000e+00	1.3090000e+00
-1.5200000e+02	5.9341896e-01	1.0000000e+01	1.3351001e+00
-1.5100000e+02	6.0194206e-01	1.0500000e+01	1.3487000e+00
-1.5000000e+02	6.0954541e-01	1.1000000e+01	1.3688000e+00
-1.4900000e+02	6.1622125e-01	1.1500000e+01	1.3755000e+00
-1.4800000e+02	6.2196577e-01	1.2000000e+01	1.3799000e+00
-1.4700000e+02	6.2677866e-01	1.2500000e+01	1.3812000e+00
-1.4600000e+02	6.3066262e-01	1.3000000e+01	1.3731000e+00
-1.4500000e+02	6.3362288e-01	1.3500000e+01	1.3494999e+00
-1.4400000e+02	6.3566709e-01	1.4000000e+01	1.3197000e+00
-1.4300000e+02	6.3680476e-01	1.4500000e+01	1.3033000e+00
-1.4200000e+02	6.3704747e-01	1.5000000e+01	1.2789000e+00
-1.4100000e+02	6.3640821e-01	1.5500000e+01	1.2548000e+00
-1.4000000e+02	6.3490158e-01	1.6000000e+01	1.2237000e+00
-1.3900000e+02	6.3254333e-01	1.6500000e+01	1.1138000e+00
-1.3800000e+02	6.2935060e-01	1.7000000e+01	1.0084000e+00
-1.3700000e+02	6.2534142e-01	1.7500000e+01	9.8989999e-01
-1.3600000e+02	6.2053484e-01	1.8000000e+01	9.5940000e-01
-1.3500000e+02	6.1495072e-01	1.9000000e+01	1.0078000e+00
-1.3400000e+02	6.0860962e-01	1.9500000e+01	1.0030000e+00
-1.3300000e+02	6.0153282e-01	END	END
-1.3200000e+02	5.9374219e-01	END	END
-1.3100000e+02	5.8525997e-01	END	END
-1.3000000e+02	5.7610893e-01	END	END
-1.2900000e+02	5.6631207e-01	END	END
-1.2800000e+02	5.5589277e-01	END	END
-1.2700000e+02	5.4487443e-01	END	END
-1.2600000e+02	5.3328073e-01	END	END
-1.2500000e+02	5.2113545e-01	END	END
-1.2400000e+02	5.0846231e-01	END	END
-1.2300000e+02	4.9528497e-01	END	END
-1.2200000e+02	4.8162720e-01	END	END
-1.2100000e+02	4.6751240e-01	END	END
-1.2000000e+02	4.5296401e-01	END	END
-1.1900000e+02	4.3800518e-01	END	END
-1.1800000e+02	4.2265880e-01	END	END
-1.1700000e+02	4.0694755e-01	END	END
-1.1600000e+02	3.9089379e-01	END	END
-1.1500000e+02	3.7451953e-01	END	END
-1.1400000e+02	3.5784647e-01	END	END
-1.1300000e+02	3.4089595e-01	END	END
-1.1200000e+02	3.2368883e-01	END	END
-1.1100000e+02	3.0624571e-01	END	END
-1.1000000e+02	2.8858671e-01	END	END
-1.0900000e+02	2.7017853e-01	END	END
-1.0800000e+02	2.5216168e-01	END	END
-1.0700000e+02	2.3398574e-01	END	END
-1.0600000e+02	2.1566917e-01	END	END
-1.0500000e+02	1.9723001e-01	END	END
-1.0400000e+02	1.7868589e-01	END	END
-1.0300000e+02	1.6005400e-01	END	END
-1.0200000e+02	1.4135109e-01	END	END
-1.0100000e+02	1.2259355e-01	END	END
-1.0000000e+02	1.0379733e-01	END	END
-9.9000000e+01	8.4978022e-02	END	END
-9.8000000e+01	6.6150844e-02	END	END
-9.7000000e+01	4.7330655e-02	END	END
-9.6000000e+01	2.8531976e-02	END	END
-9.5000000e+01	9.7690104e-03	END	END
-9.4000000e+01	-8.9443428e-03	END	END
-9.3000000e+01	-2.7594466e-02	END	END
-9.2000000e+01	-4.6168011e-02	END	END
-9.1000000e+01	-6.4651869e-02	END	END
-9.0000000e+01	-8.3033159e-02	END	END
-8.9000000e+01	-1.0129920e-01	END	END
-8.8000000e+01	-1.1943751e-01	END	END
-8.7000000e+01	-1.3743575e-01	END	END
-8.6000000e+01	-1.5528174e-01	END	END
-8.5000000e+01	-1.7296341e-01	END	END
-8.4000000e+01	-1.9046883e-01	END	END
-8.3000000e+01	-2.0778611e-01	END	END
-8.2000000e+01	-2.2490348e-01	END	END
-8.1000000e+01	-2.4180917e-01	END	END
-8.0000000e+01	-2.5849149e-01	END	END
-7.9000000e+01	-2.7493876e-01	END	END
-7.8000000e+01	-2.9113933e-01	END	END
-7.7000000e+01	-3.0708146e-01	END	END
-7.6000000e+01	-3.2275352e-01	END	END
-7.5000000e+01	-3.3814377e-01	END	END
-7.4000000e+01	-3.5324043e-01	END	END
-7.3000000e+01	-3.6803174e-01	END	END
-7.2000000e+01	-3.8250586e-01	END	END
-7.1000000e+01	-3.9665091e-01	END	END
-7.0000000e+01	-4.1045490e-01	END	END
-6.9000000e+01	-4.2390585e-01	END	END
-6.8000000e+01	-4.3699175e-01	END	END
-6.7000000e+01	-4.4970042e-01	END	END
-6.6000000e+01	-4.6201977e-01	END	END
-6.5000000e+01	-4.7393754e-01	END	END
-6.4000000e+01	-4.8544157e-01	END	END
-6.3000000e+01	-4.9651954e-01	END	END
-6.2000000e+01	-5.0715917e-01	END	END
-6.1000000e+01	-5.1734829e-01	END	END
-6.0000000e+01	-5.2707452e-01	END	END
-5.9000000e+01	-5.3632563e-01	END	END
-5.8000000e+01	-5.4508948e-01	END	END
-5.7000000e+01	-5.5335397e-01	END	END
-5.6000000e+01	-5.6110692e-01	END	END
-5.5000000e+01	-5.6833655e-01	END	END
-5.4000000e+01	-5.7503104e-01	END	END
-5.3000000e+01	-5.8117867e-01	END	END
-5.2000000e+01	-5.8676809e-01	END	END
-5.1000000e+01	-5.9178805e-01	END	END
-5.0000000e+01	-5.9622765e-01	END	END
-4.9000000e+01	-6.0007608e-01	END	END
-4.8000000e+01	-6.0332316e-01	END	END
-4.7000000e+01	-6.0595894e-01	END	END
-4.6000000e+01	-6.0797381e-01	END	END
-4.5000000e+01	-6.0935879e-01	END	END
-4.4000000e+01	-6.1010540e-01	END	END
-4.3000000e+01	-6.1020571e-01	END	END
-4.2000000e+01	-6.0965246e-01	END	END
-4.1000000e+01	-6.0843921e-01	END	END
-4.0000000e+01	-6.0656035e-01	END	END
-3.9000000e+01	-6.0401118e-01	END	END
-3.8000000e+01	-6.0078830e-01	END	END
-3.7000000e+01	-5.9688926e-01	END	END
-3.6000000e+01	-5.9231329e-01	END	END
-3.5000000e+01	-5.8706135e-01	END	END
-3.4000000e+01	-5.8113623e-01	END	END
-3.3000000e+01	-5.7454318e-01	END	END
-3.2000000e+01	-5.6729043e-01	END	END
-3.1000000e+01	-5.5938959e-01	END	END
-3.0000000e+01	-5.5085683e-01	END	END
-2.9000000e+01	-5.4171365e-01	END	END
-2.8000000e+01	-5.3198886e-01	END	END
-2.7000000e+01	-5.2172023e-01	END	END
-2.6000000e+01	-5.1095790e-01	END	END
-2.5000000e+01	-4.9976841e-01	END	END
-2.4000000e+01	-4.8824069e-01	END	END
-2.3000000e+01	-4.7649509e-01	END	END
-2.2000000e+01	-4.6469653e-01	END	END
-2.1000000e+01	-4.5307454e-01	END	END
-2.0000000e+01	-4.4195417e-01	END	END
-1.9000000e+01	-4.3180481e-01	END	END
-1.8000000e+01	-4.2331848e-01	END	END
-1.7000000e+01	-4.1753748e-01	END	END
-1.6000000e+01	-4.1606504e-01	END	END
-1.5000000e+01	-4.2141095e-01	END	END
-1.4000000e+01	-4.3753624e-01	END	END
-1.3000000e+01	-4.7059646e-01	END	END
-1.2000000e+01	-5.2945149e-01	END	END
-1.1000000e+01	-6.2381190e-01	END	END
-1.0000000e+01	-7.5378543e-01	END	END
-9.0000000e+00	-8.8540971e-01	END	END
-8.0000000e+00	-9.4396281e-01	END	END
-7.0000000e+00	-8.8417131e-01	END	END
-6.0000000e+00	-7.4311709e-01	END	END
-5.0000000e+00	-5.7662642e-01	END	END
-4.0000000e+00	-3.7040001e-01	END	END
-3.5000000e+00	-3.1729999e-01	END	END
-3.0000000e+00	-2.2810000e-01	END	END
-2.5000000e+00	-1.4579999e-01	END	END
-2.0000000e+00	-6.3400000e-02	END	END
-1.5000000e+00	1.3200000e-02	END	END
-1.0000000e+00	8.2900003e-02	END	END
-5.0000000e-01	1.7700000e-01	END	END
0.0000000e+00	2.6750001e-01	END	END
5.0000000e-01	3.2820001e-01	END	END
1.0000000e+00	3.9660001e-01	END	END
