# Export File Created with QBlade CE v2.0.8.6_beta windows on 08.04.2025 at 09:48:28
CLARK_Y_AIRFOIL_Re0.750_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re0.750_M0.00_N9.0
Angle of Attack [deg]	Lift Coefficient Cl [-]	Angle of Attack [deg]	Lift Coefficient Cl [-]
-1.8000000e+02	-1.0807604e-01	-4.0000000e+00	-4.1200001e-02
-1.7900000e+02	-3.7984964e-02	-3.5000000e+00	1.3300000e-02
-1.7800000e+02	1.7314134e-02	-3.0000000e+00	6.7199998e-02
-1.7700000e+02	5.9837118e-02	-2.5000000e+00	1.2200000e-01
-1.7600000e+02	9.3213066e-02	-2.0000000e+00	1.7690000e-01
-1.7500000e+02	1.2090576e-01	-1.5000000e+00	2.3109999e-01
-1.7400000e+02	1.4543045e-01	-1.0000000e+00	2.8420001e-01
-1.7300000e+02	1.6833179e-01	-5.0000000e-01	3.3800000e-01
-1.7200000e+02	1.9044298e-01	0.0000000e+00	3.8990000e-01
-1.7100000e+02	2.1215291e-01	5.0000000e-01	4.3689999e-01
-1.7000000e+02	2.3359923e-01	1.0000000e+00	4.9239999e-01
-1.6900000e+02	2.5478828e-01	1.5000000e+00	5.8240002e-01
-1.6800000e+02	2.7566385e-01	2.0000000e+00	6.4450002e-01
-1.6700000e+02	2.9614466e-01	2.5000000e+00	6.9279999e-01
-1.6600000e+02	3.1614357e-01	3.0000000e+00	7.4089998e-01
-1.6500000e+02	3.3557701e-01	3.5000000e+00	7.8630000e-01
-1.6400000e+02	3.5436931e-01	4.0000000e+00	8.3069998e-01
-1.6300000e+02	3.7245396e-01	4.5000000e+00	8.7769997e-01
-1.6200000e+02	3.8977379e-01	5.0000000e+00	9.2690003e-01
-1.6100000e+02	4.0628040e-01	5.5000000e+00	9.7670001e-01
-1.6000000e+02	4.2193350e-01	6.0000000e+00	1.0269001e+00
-1.5900000e+02	4.3669999e-01	6.5000000e+00	1.0766000e+00
-1.5800000e+02	4.5055318e-01	7.0000000e+00	1.1259000e+00
-1.5700000e+02	4.6347222e-01	7.5000000e+00	1.1744000e+00
-1.5600000e+02	4.7544143e-01	8.0000000e+00	1.2156000e+00
-1.5500000e+02	4.8644969e-01	8.5000000e+00	1.2517999e+00
-1.5400000e+02	4.9649003e-01	9.0000000e+00	1.2905999e+00
-1.5300000e+02	5.0555927e-01	9.5000000e+00	1.3293000e+00
-1.5200000e+02	5.1365769e-01	1.0000000e+01	1.3549000e+00
-1.5100000e+02	5.2078855e-01	1.0500000e+01	1.3732001e+00
-1.5000000e+02	5.2695805e-01	1.1000000e+01	1.3990999e+00
-1.4900000e+02	5.3217494e-01	1.1500000e+01	1.4206001e+00
-1.4800000e+02	5.3645033e-01	1.2000000e+01	1.4391000e+00
-1.4700000e+02	5.3979754e-01	1.2500000e+01	1.4579000e+00
-1.4600000e+02	5.4223180e-01	1.3000000e+01	1.4726000e+00
-1.4500000e+02	5.4377025e-01	1.3500000e+01	1.4822000e+00
-1.4400000e+02	5.4443163e-01	1.4000000e+01	1.4861000e+00
