# Export File Created with QBlade CE v2.0.8.6_beta windows on 17.04.2025 at 16:21:03
CLARK_Y_AIRFOIL_Re0.020_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re0.045_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re0.075_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re0.100_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re0.250_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re0.500_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re0.750_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re1.000_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re1.000_M0.00_N9.0
Angle of Attack [deg]	Drag Coefficient Cd [-]	Angle of Attack [deg]	Drag Coefficient Cd [-]	Angle of Attack [deg]	Drag Coefficient Cd [-]	Angle of Attack [deg]	Drag Coefficient Cd [-]	Angle of Attack [deg]	Drag Coefficient Cd [-]	Angle of Attack [deg]	Drag Coefficient Cd [-]	Angle of Attack [deg]	Drag Coefficient Cd [-]	Angle of Attack [deg]	Drag Coefficient Cd [-]	Angle of Attack [deg]	Drag Coefficient Cd [-]
-1.8000000e+02	6.0000266e-03	-1.8000000e+02	6.0000126e-03	-1.8000000e+02	6.0000150e-03	-1.8000000e+02	6.0000150e-03	-1.8000000e+02	6.0000215e-03	-1.8000000e+02	6.0000219e-03	-1.8000000e+02	6.0000224e-03	-1.8000000e+02	6.0000229e-03	-4.0000000e+00	8.8499999e-03
-1.7900000e+02	6.5219849e-03	-1.7900000e+02	6.5219710e-03	-1.7900000e+02	6.5219733e-03	-1.7900000e+02	6.5219733e-03	-1.7900000e+02	6.5219798e-03	-1.7900000e+02	6.5219803e-03	-1.7900000e+02	6.5219807e-03	-1.7900000e+02	6.5219812e-03	-3.5000000e+00	8.5199997e-03
-1.7800000e+02	8.0861580e-03	-1.7800000e+02	8.0861449e-03	-1.7800000e+02	8.0861468e-03	-1.7800000e+02	8.0861468e-03	-1.7800000e+02	8.0861533e-03	-1.7800000e+02	8.0861533e-03	-1.7800000e+02	8.0861542e-03	-1.7800000e+02	8.0861542e-03	-3.0000000e+00	8.2799997e-03
-1.7700000e+02	1.0689044e-02	-1.7700000e+02	1.0689033e-02	-1.7700000e+02	1.0689035e-02	-1.7700000e+02	1.0689035e-02	-1.7700000e+02	1.0689041e-02	-1.7700000e+02	1.0689041e-02	-1.7700000e+02	1.0689042e-02	-1.7700000e+02	1.0689042e-02	-2.5000000e+00	8.0899997e-03
-1.7600000e+02	1.4325885e-02	-1.7600000e+02	1.4325876e-02	-1.7600000e+02	1.4325877e-02	-1.7600000e+02	1.4325877e-02	-1.7600000e+02	1.4325881e-02	-1.7600000e+02	1.4325881e-02	-1.7600000e+02	1.4325882e-02	-1.7600000e+02	1.4325882e-02	-2.0000000e+00	7.8800004e-03
-1.7500000e+02	1.8990668e-02	-1.7500000e+02	1.8990660e-02	-1.7500000e+02	1.8990662e-02	-1.7500000e+02	1.8990662e-02	-1.7500000e+02	1.8990664e-02	-1.7500000e+02	1.8990664e-02	-1.7500000e+02	1.8990666e-02	-1.7500000e+02	1.8990666e-02	-1.5000000e+00	7.7000000e-03
-1.7400000e+02	2.4676139e-02	-1.7400000e+02	2.4676135e-02	-1.7400000e+02	2.4676135e-02	-1.7400000e+02	2.4676135e-02	-1.7400000e+02	2.4676137e-02	-1.7400000e+02	2.4676137e-02	-1.7400000e+02	2.4676137e-02	-1.7400000e+02	2.4676137e-02	-1.0000000e+00	7.2699999e-03
-1.7300000e+02	3.1373817e-02	-1.7300000e+02	3.1373817e-02	-1.7300000e+02	3.1373817e-02	-1.7300000e+02	3.1373817e-02	-1.7300000e+02	3.1373817e-02	-1.7300000e+02	3.1373817e-02	-1.7300000e+02	3.1373817e-02	-1.7300000e+02	3.1373817e-02	-5.0000000e-01	6.8799998e-03
-1.7200000e+02	3.9074007e-02	-1.7200000e+02	3.9074015e-02	-1.7200000e+02	3.9074011e-02	-1.7200000e+02	3.9074011e-02	-1.7200000e+02	3.9074007e-02	-1.7200000e+02	3.9074007e-02	-1.7200000e+02	3.9074007e-02	-1.7200000e+02	3.9074007e-02	0.0000000e+00	6.6300002e-03
-1.7100000e+02	4.7765806e-02	-1.7100000e+02	4.7765821e-02	-1.7100000e+02	4.7765817e-02	-1.7100000e+02	4.7765817e-02	-1.7100000e+02	4.7765814e-02	-1.7100000e+02	4.7765810e-02	-1.7100000e+02	4.7765810e-02	-1.7100000e+02	4.7765810e-02	5.0000000e-01	6.1100000e-03
-1.7000000e+02	5.7437137e-02	-1.7000000e+02	5.7437159e-02	-1.7000000e+02	5.7437155e-02	-1.7000000e+02	5.7437155e-02	-1.7000000e+02	5.7437144e-02	-1.7000000e+02	5.7437144e-02	-1.7000000e+02	5.7437140e-02	-1.7000000e+02	5.7437140e-02	1.0000000e+00	5.5200001e-03
-1.6900000e+02	6.8074740e-02	-1.6900000e+02	6.8074770e-02	-1.6900000e+02	6.8074763e-02	-1.6900000e+02	6.8074763e-02	-1.6900000e+02	6.8074748e-02	-1.6900000e+02	6.8074748e-02	-1.6900000e+02	6.8074748e-02	-1.6900000e+02	6.8074748e-02	1.5000000e+00	5.5600000e-03
-1.6800000e+02	7.9664215e-02	-1.6800000e+02	7.9664260e-02	-1.6800000e+02	7.9664253e-02	-1.6800000e+02	7.9664253e-02	-1.6800000e+02	7.9664230e-02	-1.6800000e+02	7.9664230e-02	-1.6800000e+02	7.9664230e-02	-1.6800000e+02	7.9664223e-02	2.0000000e+00	5.8400002e-03
-1.6700000e+02	9.2190035e-02	-1.6700000e+02	9.2190087e-02	-1.6700000e+02	9.2190079e-02	-1.6700000e+02	9.2190079e-02	-1.6700000e+02	9.2190057e-02	-1.6700000e+02	9.2190050e-02	-1.6700000e+02	9.2190050e-02	-1.6700000e+02	9.2190050e-02	2.5000000e+00	6.1100000e-03
-1.6600000e+02	1.0563556e-01	-1.6600000e+02	1.0563563e-01	-1.6600000e+02	1.0563561e-01	-1.6600000e+02	1.0563561e-01	-1.6600000e+02	1.0563558e-01	-1.6600000e+02	1.0563558e-01	-1.6600000e+02	1.0563558e-01	-1.6600000e+02	1.0563558e-01	3.0000000e+00	6.4699999e-03
-1.6500000e+02	1.1998306e-01	-1.6500000e+02	1.1998314e-01	-1.6500000e+02	1.1998313e-01	-1.6500000e+02	1.1998313e-01	-1.6500000e+02	1.1998309e-01	-1.6500000e+02	1.1998308e-01	-1.6500000e+02	1.1998308e-01	-1.6500000e+02	1.1998308e-01	3.5000000e+00	7.0900000e-03
-1.6400000e+02	1.3521376e-01	-1.6400000e+02	1.3521385e-01	-1.6400000e+02	1.3521384e-01	-1.6400000e+02	1.3521384e-01	-1.6400000e+02	1.3521379e-01	-1.6400000e+02	1.3521379e-01	-1.6400000e+02	1.3521379e-01	-1.6400000e+02	1.3521379e-01	4.0000000e+00	7.5800000e-03
-1.6300000e+02	1.5130784e-01	-1.6300000e+02	1.5130794e-01	-1.6300000e+02	1.5130793e-01	-1.6300000e+02	1.5130793e-01	-1.6300000e+02	1.5130787e-01	-1.6300000e+02	1.5130787e-01	-1.6300000e+02	1.5130787e-01	-1.6300000e+02	1.5130787e-01	4.5000000e+00	7.9800002e-03
-1.6200000e+02	1.6824445e-01	-1.6200000e+02	1.6824457e-01	-1.6200000e+02	1.6824456e-01	-1.6200000e+02	1.6824456e-01	-1.6200000e+02	1.6824450e-01	-1.6200000e+02	1.6824448e-01	-1.6200000e+02	1.6824448e-01	-1.6200000e+02	1.6824448e-01	5.0000000e+00	8.3400002e-03
-1.6100000e+02	1.8600179e-01	-1.6100000e+02	1.8600194e-01	-1.6100000e+02	1.8600191e-01	-1.6100000e+02	1.8600191e-01	-1.6100000e+02	1.8600184e-01	-1.6100000e+02	1.8600184e-01	-1.6100000e+02	1.8600182e-01	-1.6100000e+02	1.8600182e-01	6.0000000e+00	9.0500005e-03
-1.6000000e+02	2.0455708e-01	-1.6000000e+02	2.0455725e-01	-1.6000000e+02	2.0455723e-01	-1.6000000e+02	2.0455723e-01	-1.6000000e+02	2.0455714e-01	-1.6000000e+02	2.0455714e-01	-1.6000000e+02	2.0455712e-01	-1.6000000e+02	2.0455712e-01	6.5000000e+00	9.4799995e-03
-1.5900000e+02	2.2388664e-01	-1.5900000e+02	2.2388685e-01	-1.5900000e+02	2.2388680e-01	-1.5900000e+02	2.2388680e-01	-1.5900000e+02	2.2388671e-01	-1.5900000e+02	2.2388670e-01	-1.5900000e+02	2.2388670e-01	-1.5900000e+02	2.2388670e-01	7.0000000e+00	9.9499999e-03
-1.5800000e+02	2.4396588e-01	-1.5800000e+02	2.4396610e-01	-1.5800000e+02	2.4396606e-01	-1.5800000e+02	2.4396606e-01	-1.5800000e+02	2.4396595e-01	-1.5800000e+02	2.4396594e-01	-1.5800000e+02	2.4396594e-01	-1.5800000e+02	2.4396594e-01	7.5000000e+00	1.0690000e-02
-1.5700000e+02	2.6476935e-01	-1.5700000e+02	2.6476958e-01	-1.5700000e+02	2.6476955e-01	-1.5700000e+02	2.6476955e-01	-1.5700000e+02	2.6476943e-01	-1.5700000e+02	2.6476941e-01	-1.5700000e+02	2.6476941e-01	-1.5700000e+02	2.6476941e-01	8.0000000e+00	1.1950000e-02
-1.5600000e+02	2.8627074e-01	-1.5600000e+02	2.8627101e-01	-1.5600000e+02	2.8627098e-01	-1.5600000e+02	2.8627098e-01	-1.5600000e+02	2.8627083e-01	-1.5600000e+02	2.8627083e-01	-1.5600000e+02	2.8627080e-01	-1.5600000e+02	2.8627080e-01	8.5000000e+00	1.3040000e-02
-1.5500000e+02	3.0844301e-01	-1.5500000e+02	3.0844331e-01	-1.5500000e+02	3.0844325e-01	-1.5500000e+02	3.0844325e-01	-1.5500000e+02	3.0844310e-01	-1.5500000e+02	3.0844310e-01	-1.5500000e+02	3.0844307e-01	-1.5500000e+02	3.0844307e-01	9.0000000e+00	1.3900000e-02
-1.5400000e+02	3.3125827e-01	-1.5400000e+02	3.3125862e-01	-1.5400000e+02	3.3125857e-01	-1.5400000e+02	3.3125857e-01	-1.5400000e+02	3.3125839e-01	-1.5400000e+02	3.3125839e-01	-1.5400000e+02	3.3125836e-01	-1.5400000e+02	3.3125836e-01	9.5000000e+00	1.5160000e-02
-1.5300000e+02	3.5468802e-01	-1.5300000e+02	3.5468841e-01	-1.5300000e+02	3.5468832e-01	-1.5300000e+02	3.5468832e-01	-1.5300000e+02	3.5468814e-01	-1.5300000e+02	3.5468811e-01	-1.5300000e+02	3.5468811e-01	-1.5300000e+02	3.5468811e-01	1.0000000e+01	1.7080000e-02
-1.5200000e+02	3.7870291e-01	-1.5200000e+02	3.7870336e-01	-1.5200000e+02	3.7870327e-01	-1.5200000e+02	3.7870327e-01	-1.5200000e+02	3.7870306e-01	-1.5200000e+02	3.7870303e-01	-1.5200000e+02	3.7870303e-01	-1.5200000e+02	3.7870303e-01	1.0500000e+01	1.8300001e-02
-1.5100000e+02	4.0327308e-01	-1.5100000e+02	4.0327355e-01	-1.5100000e+02	4.0327346e-01	-1.5100000e+02	4.0327346e-01	-1.5100000e+02	4.0327325e-01	-1.5100000e+02	4.0327322e-01	-1.5100000e+02	4.0327320e-01	-1.5100000e+02	4.0327320e-01	1.1000000e+01	1.9680001e-02
-1.5000000e+02	4.2836797e-01	-1.5000000e+02	4.2836851e-01	-1.5000000e+02	4.2836839e-01	-1.5000000e+02	4.2836839e-01	-1.5000000e+02	4.2836815e-01	-1.5000000e+02	4.2836812e-01	-1.5000000e+02	4.2836809e-01	-1.5000000e+02	4.2836809e-01	1.1500000e+01	2.1140000e-02
-1.4900000e+02	4.5395648e-01	-1.4900000e+02	4.5395705e-01	-1.4900000e+02	4.5395693e-01	-1.4900000e+02	4.5395693e-01	-1.4900000e+02	4.5395666e-01	-1.4900000e+02	4.5395663e-01	-1.4900000e+02	4.5395660e-01	-1.4900000e+02	4.5395660e-01	1.2000000e+01	2.2940001e-02
-1.4800000e+02	4.8000690e-01	-1.4800000e+02	4.8000750e-01	-1.4800000e+02	4.8000741e-01	-1.4800000e+02	4.8000741e-01	-1.4800000e+02	4.8000711e-01	-1.4800000e+02	4.8000708e-01	-1.4800000e+02	4.8000705e-01	-1.4800000e+02	4.8000705e-01	1.2500000e+01	2.5160000e-02
-1.4700000e+02	5.0648707e-01	-1.4700000e+02	5.0648773e-01	-1.4700000e+02	5.0648761e-01	-1.4700000e+02	5.0648761e-01	-1.4700000e+02	5.0648731e-01	-1.4700000e+02	5.0648725e-01	-1.4700000e+02	5.0648725e-01	-1.4700000e+02	5.0648725e-01	1.3000000e+01	2.8330000e-02
