# Export File Created with QBlade CE v2.0.8.6_beta windows on 17.04.2025 at 16:20:53
CLARK_Y_AIRFOIL_Re0.020_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re0.045_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re0.075_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re0.100_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re0.250_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re0.500_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re0.750_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re1.000_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re1.000_M0.00_N9.0
Angle of Attack [deg]	Lift Coefficient Cl [-]	Angle of Attack [deg]	Lift Coefficient Cl [-]	Angle of Attack [deg]	Lift Coefficient Cl [-]	Angle of Attack [deg]	Lift Coefficient Cl [-]	Angle of Attack [deg]	Lift Coefficient Cl [-]	Angle of Attack [deg]	Lift Coefficient Cl [-]	Angle of Attack [deg]	Lift Coefficient Cl [-]	Angle of Attack [deg]	Lift Coefficient Cl [-]	Angle of Attack [deg]	Lift Coefficient Cl [-]
-1.8000000e+02	2.7392288e-03	-1.8000000e+02	1.5140437e-03	-1.8000000e+02	-4.7391534e-02	-1.8000000e+02	-6.7577757e-02	-1.8000000e+02	-1.1029541e-01	-1.8000000e+02	-1.0905049e-01	-1.8000000e+02	-1.0807604e-01	-1.8000000e+02	-1.0723682e-01	-4.0000000e+00	-4.4599999e-02
-1.7900000e+02	8.8344134e-02	-1.7900000e+02	1.6186093e-01	-1.7900000e+02	8.7667607e-02	-1.7900000e+02	6.5975420e-02	-1.7900000e+02	-1.7014427e-02	-1.7900000e+02	-6.1230134e-02	-1.7900000e+02	-3.7984964e-02	-1.7900000e+02	-1.6209925e-02	-3.5000000e+00	1.0200000e-02
-1.7800000e+02	1.7391421e-01	-1.7800000e+02	3.2218787e-01	-1.7800000e+02	2.2215104e-01	-1.7800000e+02	1.9804972e-01	-1.7800000e+02	6.7073718e-02	-1.7800000e+02	-1.9831920e-02	-1.7800000e+02	1.7314134e-02	-1.7800000e+02	7.2449274e-02	-3.0000000e+00	6.5399997e-02
-1.7700000e+02	2.5857982e-01	-1.7700000e+02	4.8035091e-01	-1.7700000e+02	3.5007402e-01	-1.7700000e+02	3.1979963e-01	-1.7700000e+02	1.3357589e-01	-1.7700000e+02	1.6963473e-02	-1.7700000e+02	5.9837118e-02	-1.7700000e+02	1.5252344e-01	-2.5000000e+00	1.2050000e-01
-1.7600000e+02	3.3840716e-01	-1.7600000e+02	6.2143600e-01	-1.7600000e+02	4.5352104e-01	-1.7600000e+02	4.1127822e-01	-1.7600000e+02	1.7795031e-01	-1.7600000e+02	5.0491445e-02	-1.7600000e+02	9.3213066e-02	-1.7600000e+02	2.1468782e-01	-2.0000000e+00	1.7560001e-01
-1.7500000e+02	4.0517479e-01	-1.7500000e+02	7.1168685e-01	-1.7500000e+02	5.0894195e-01	-1.7500000e+02	4.5329797e-01	-1.7500000e+02	2.0316137e-01	-1.7500000e+02	8.1675939e-02	-1.7500000e+02	1.2090576e-01	-1.7500000e+02	2.5269189e-01	-1.5000000e+00	2.3109999e-01
-1.7400000e+02	4.4956261e-01	-1.7400000e+02	7.2342968e-01	-1.7400000e+02	5.1049477e-01	-1.7400000e+02	4.4858316e-01	-1.7400000e+02	2.1677445e-01	-1.7400000e+02	1.1113004e-01	-1.7400000e+02	1.4543045e-01	-1.7400000e+02	2.6919022e-01	-1.0000000e+00	2.8500000e-01
-1.7300000e+02	4.6867120e-01	-1.7300000e+02	6.7239845e-01	-1.7300000e+02	4.7921941e-01	-1.7300000e+02	4.2025515e-01	-1.7300000e+02	2.2583650e-01	-1.7300000e+02	1.3924685e-01	-1.7300000e+02	1.6833179e-01	-1.7300000e+02	2.7338621e-01	-5.0000000e-01	3.3860001e-01
-1.7200000e+02	4.6953586e-01	-1.7200000e+02	6.0263777e-01	-1.7200000e+02	4.4178042e-01	-1.7200000e+02	3.9018723e-01	-1.7200000e+02	2.3458807e-01	-1.7200000e+02	1.6626960e-01	-1.7200000e+02	1.9044298e-01	-1.7200000e+02	2.7413478e-01	0.0000000e+00	3.9260000e-01
-1.7100000e+02	4.6342286e-01	-1.7100000e+02	5.4482377e-01	-1.7100000e+02	4.1282180e-01	-1.7100000e+02	3.6855337e-01	-1.7100000e+02	2.4481919e-01	-1.7100000e+02	1.9234210e-01	-1.7100000e+02	2.1215291e-01	-1.7100000e+02	2.7646667e-01	5.0000000e-01	4.4409999e-01
-1.7000000e+02	4.5869276e-01	-1.7000000e+02	5.0753713e-01	-1.7000000e+02	3.9580065e-01	-1.7000000e+02	3.5708013e-01	-1.7000000e+02	2.5691777e-01	-1.7000000e+02	2.1754332e-01	-1.7000000e+02	2.3359923e-01	-1.7000000e+02	2.8211406e-01	1.0000000e+00	4.9020001e-01
-1.6900000e+02	4.5896837e-01	-1.6900000e+02	4.8846647e-01	-1.6900000e+02	3.8922155e-01	-1.6900000e+02	3.5415983e-01	-1.6900000e+02	2.7065614e-01	-1.6900000e+02	2.4191067e-01	-1.6900000e+02	2.5478828e-01	-1.6900000e+02	2.9107493e-01	1.5000000e+00	5.4990000e-01
-1.6800000e+02	4.6474838e-01	-1.6800000e+02	4.8284680e-01	-1.6800000e+02	3.9046115e-01	-1.6800000e+02	3.5755515e-01	-1.6800000e+02	2.8561047e-01	-1.6800000e+02	2.6545545e-01	-1.6800000e+02	2.7566385e-01	-1.6800000e+02	3.0271131e-01	2.0000000e+00	6.3760000e-01
-1.6700000e+02	4.7521695e-01	-1.6700000e+02	4.8649180e-01	-1.6700000e+02	3.9716238e-01	-1.6700000e+02	3.6532262e-01	-1.6700000e+02	3.0134490e-01	-1.6700000e+02	2.8817308e-01	-1.6700000e+02	2.9614466e-01	-1.6700000e+02	3.1627464e-01	2.5000000e+00	6.9510001e-01
-1.6600000e+02	4.8925352e-01	-1.6600000e+02	4.9633753e-01	-1.6600000e+02	4.0752786e-01	-1.6600000e+02	3.7598497e-01	-1.6600000e+02	3.1747758e-01	-1.6600000e+02	3.1004971e-01	-1.6600000e+02	3.1614357e-01	-1.6600000e+02	3.3109927e-01	3.0000000e+00	7.4250001e-01
-1.6500000e+02	5.0583237e-01	-1.6500000e+02	5.1026827e-01	-1.6500000e+02	4.2026356e-01	-1.6500000e+02	3.8847229e-01	-1.6500000e+02	3.3369529e-01	-1.6500000e+02	3.3106661e-01	-1.6500000e+02	3.3557701e-01	-1.6500000e+02	3.4664875e-01	3.5000000e+00	7.8600001e-01
-1.6400000e+02	5.2412689e-01	-1.6400000e+02	5.2684295e-01	-1.6400000e+02	4.3445405e-01	-1.6400000e+02	4.0202120e-01	-1.6400000e+02	3.4974891e-01	-1.6400000e+02	3.5120296e-01	-1.6400000e+02	3.5436931e-01	-1.6400000e+02	3.6250803e-01	4.0000000e+00	8.3240002e-01
-1.6300000e+02	5.4350334e-01	-1.6300000e+02	5.4507434e-01	-1.6300000e+02	4.4945189e-01	-1.6300000e+02	4.1608697e-01	-1.6300000e+02	3.6544317e-01	-1.6300000e+02	3.7043783e-01	-1.6300000e+02	3.7245396e-01	-1.6300000e+02	3.7836143e-01	4.5000000e+00	8.8129997e-01
-1.6200000e+02	5.6348407e-01	-1.6200000e+02	5.6427628e-01	-1.6200000e+02	4.6479541e-01	-1.6200000e+02	4.3027833e-01	-1.6200000e+02	3.8062608e-01	-1.6200000e+02	3.8875115e-01	-1.6200000e+02	3.8977379e-01	-1.6200000e+02	3.9396998e-01	5.0000000e+00	9.3159997e-01
-1.6100000e+02	5.8370936e-01	-1.6100000e+02	5.8396250e-01	-1.6100000e+02	4.8015150e-01	-1.6100000e+02	4.4431168e-01	-1.6100000e+02	3.9517978e-01	-1.6100000e+02	4.0612465e-01	-1.6100000e+02	4.0628040e-01	-1.6100000e+02	4.0915284e-01	6.0000000e+00	1.0332000e+00
-1.6000000e+02	6.0390645e-01	-1.6000000e+02	6.0378122e-01	-1.6000000e+02	4.9527678e-01	-1.6000000e+02	4.5797929e-01	-1.6000000e+02	4.0901315e-01	-1.6000000e+02	4.2254218e-01	-1.6000000e+02	4.2193350e-01	-1.6000000e+02	4.2377269e-01	6.5000000e+00	1.0833000e+00
-1.5900000e+02	6.2386578e-01	-1.5900000e+02	6.2347233e-01	-1.5900000e+02	5.0999105e-01	-1.5900000e+02	4.7112784e-01	-1.5900000e+02	4.2205626e-01	-1.5900000e+02	4.3799007e-01	-1.5900000e+02	4.3669999e-01	-1.5900000e+02	4.3772516e-01	7.0000000e+00	1.1327000e+00
-1.5800000e+02	6.4342403e-01	-1.5800000e+02	6.4283955e-01	-1.5800000e+02	5.2415961e-01	-1.5800000e+02	4.8364326e-01	-1.5800000e+02	4.3425581e-01	-1.5800000e+02	4.5245719e-01	-1.5800000e+02	4.5055318e-01	-1.5800000e+02	4.5093089e-01	7.5000000e+00	1.1784000e+00
-1.5700000e+02	6.6245186e-01	-1.5700000e+02	6.6173130e-01	-1.5700000e+02	5.3768045e-01	-1.5700000e+02	4.9544069e-01	-1.5700000e+02	4.4557199e-01	-1.5700000e+02	4.6593505e-01	-1.5700000e+02	4.6347222e-01	-1.5700000e+02	4.6332979e-01	8.0000000e+00	1.2170000e+00
-1.5600000e+02	6.8084550e-01	-1.5600000e+02	6.8002856e-01	-1.5600000e+02	5.5047619e-01	-1.5600000e+02	5.0645685e-01	-1.5600000e+02	4.5597580e-01	-1.5600000e+02	4.7841781e-01	-1.5600000e+02	4.7544143e-01	-1.5600000e+02	4.7487670e-01	8.5000000e+00	1.2570000e+00
-1.5500000e+02	6.9851995e-01	-1.5500000e+02	6.9763595e-01	-1.5500000e+02	5.6248766e-01	-1.5500000e+02	5.1664513e-01	-1.5500000e+02	4.6544725e-01	-1.5500000e+02	4.8990220e-01	-1.5500000e+02	4.8644969e-01	-1.5500000e+02	4.8553839e-01	9.0000000e+00	1.2994000e+00
-1.5400000e+02	7.1540517e-01	-1.5400000e+02	7.1447581e-01	-1.5400000e+02	5.7366991e-01	-1.5400000e+02	5.2597165e-01	-1.5400000e+02	4.7397369e-01	-1.5400000e+02	5.0038737e-01	-1.5400000e+02	4.9649003e-01	-1.5400000e+02	4.9529111e-01	9.5000000e+00	1.3349000e+00
-1.5300000e+02	7.3144233e-01	-1.5300000e+02	7.3048407e-01	-1.5300000e+02	5.8398879e-01	-1.5300000e+02	5.3441268e-01	-1.5300000e+02	4.8154870e-01	-1.5300000e+02	5.0987506e-01	-1.5300000e+02	5.0555927e-01	-1.5300000e+02	5.0411892e-01	1.0000000e+01	1.3550000e+00
-1.5200000e+02	7.4658185e-01	-1.5200000e+02	7.4560714e-01	-1.5200000e+02	5.9341896e-01	-1.5200000e+02	5.4195261e-01	-1.5200000e+02	4.8817122e-01	-1.5200000e+02	5.1836932e-01	-1.5200000e+02	5.1365769e-01	-1.5200000e+02	5.1201218e-01	1.0500000e+01	1.3861001e+00
-1.5100000e+02	7.6078135e-01	-1.5100000e+02	7.5979978e-01	-1.5100000e+02	6.0194206e-01	-1.5100000e+02	5.4858243e-01	-1.5100000e+02	4.9384469e-01	-1.5100000e+02	5.2587628e-01	-1.5100000e+02	5.2078855e-01	-1.5100000e+02	5.1896679e-01	1.1000000e+01	1.4152000e+00
-1.5000000e+02	7.7400458e-01	-1.5000000e+02	7.7302349e-01	-1.5000000e+02	6.0954541e-01	-1.5000000e+02	5.5429858e-01	-1.5000000e+02	4.9857649e-01	-1.5000000e+02	5.3240442e-01	-1.5000000e+02	5.2695805e-01	-1.5000000e+02	5.2498311e-01	1.1500000e+01	1.4434000e+00
-1.4900000e+02	7.8622031e-01	-1.4900000e+02	7.8524554e-01	-1.4900000e+02	6.1622125e-01	-1.4900000e+02	5.5910182e-01	-1.4900000e+02	5.0237757e-01	-1.4900000e+02	5.3796405e-01	-1.4900000e+02	5.3217494e-01	-1.4900000e+02	5.3006542e-01	1.2000000e+01	1.4677000e+00
-1.4800000e+02	7.9740173e-01	-1.4800000e+02	7.9643780e-01	-1.4800000e+02	6.2196577e-01	-1.4800000e+02	5.6299710e-01	-1.4800000e+02	5.0526172e-01	-1.4800000e+02	5.4256761e-01	-1.4800000e+02	5.3645033e-01	-1.4800000e+02	5.3422147e-01	1.2500000e+01	1.4874001e+00
-1.4700000e+02	8.0752587e-01	-1.4700000e+02	8.0657631e-01	-1.4700000e+02	6.2677866e-01	-1.4700000e+02	5.6599236e-01	-1.4700000e+02	5.0724548e-01	-1.4700000e+02	5.4622906e-01	-1.4700000e+02	5.3979754e-01	-1.4700000e+02	5.3746182e-01	1.3000000e+01	1.4970000e+00
-1.4600000e+02	8.1657302e-01	-1.4600000e+02	8.1564063e-01	-1.4600000e+02	6.3066262e-01	-1.4600000e+02	5.6809855e-01	-1.4600000e+02	5.0834781e-01	-1.4600000e+02	5.4896432e-01	-1.4600000e+02	5.4223180e-01	-1.4600000e+02	5.3979981e-01	1.3500000e+01	1.4931999e+00
-1.4500000e+02	8.2452667e-01	-1.4500000e+02	8.2361364e-01	-1.4500000e+02	6.3362288e-01	-1.4500000e+02	5.6932896e-01	-1.4500000e+02	5.0858968e-01	-1.4500000e+02	5.5079067e-01	-1.4500000e+02	5.4377025e-01	-1.4500000e+02	5.4125088e-01	1.4000000e+01	1.5072000e+00
-1.4400000e+02	8.3137304e-01	-1.4400000e+02	8.3048105e-01	-1.4400000e+02	6.3566709e-01	-1.4400000e+02	5.6969905e-01	-1.4400000e+02	5.0799394e-01	-1.4400000e+02	5.5172694e-01	-1.4400000e+02	5.4443163e-01	-1.4400000e+02	5.4183263e-01	1.4500000e+01	1.5156000e+00
-1.4300000e+02	8.3710092e-01	-1.4300000e+02	8.3623135e-01	-1.4300000e+02	6.3680476e-01	-1.4300000e+02	5.6922621e-01	-1.4300000e+02	5.0658494e-01	-1.4300000e+02	5.5179328e-01	-1.4300000e+02	5.4423612e-01	-1.4300000e+02	5.4156435e-01	1.5000000e+01	1.5184000e+00
-1.4200000e+02	8.4170157e-01	-1.4200000e+02	8.4085542e-01	-1.4200000e+02	6.3704747e-01	-1.4200000e+02	5.6792927e-01	-1.4200000e+02	5.0438857e-01	-1.4200000e+02	5.5101109e-01	-1.4200000e+02	5.4320532e-01	-1.4200000e+02	5.4046702e-01	1.5500000e+01	1.5160000e+00
-1.4100000e+02	8.4516847e-01	-1.4100000e+02	8.4434652e-01	-1.4100000e+02	6.3640821e-01	-1.4100000e+02	5.6582874e-01	-1.4100000e+02	5.0143188e-01	-1.4100000e+02	5.4940283e-01	-1.4100000e+02	5.4136211e-01	-1.4100000e+02	5.3856295e-01	1.6000000e+01	1.5077000e+00
-1.4000000e+02	8.4749728e-01	-1.4000000e+02	8.4670013e-01	-1.4000000e+02	6.3490158e-01	-1.4000000e+02	5.6294608e-01	-1.4000000e+02	4.9774295e-01	-1.4000000e+02	5.4699200e-01	-1.4000000e+02	5.3873020e-01	-1.4000000e+02	5.3587556e-01	1.6500000e+01	1.4944000e+00
-1.3900000e+02	8.4868586e-01	-1.3900000e+02	8.4791392e-01	-1.3900000e+02	6.3254333e-01	-1.3900000e+02	5.5930412e-01	-1.3900000e+02	4.9335074e-01	-1.3900000e+02	5.4380298e-01	-1.3900000e+02	5.3533453e-01	-1.3900000e+02	5.3242952e-01	1.7000000e+01	1.4761000e+00
-1.3800000e+02	8.4873396e-01	-1.3800000e+02	8.4798741e-01	-1.3800000e+02	6.2935060e-01	-1.3800000e+02	5.5492634e-01	-1.3800000e+02	4.8828495e-01	-1.3800000e+02	5.3986090e-01	-1.3800000e+02	5.3120059e-01	-1.3800000e+02	5.2825022e-01	1.7500000e+01	1.4542000e+00
-1.3700000e+02	8.4764326e-01	-1.3700000e+02	8.4692228e-01	-1.3700000e+02	6.2534142e-01	-1.3700000e+02	5.4983711e-01	-1.3700000e+02	4.8257586e-01	-1.3700000e+02	5.3519166e-01	-1.3700000e+02	5.2635473e-01	-1.3700000e+02	5.2336389e-01	1.8000000e+01	1.4294000e+00
-1.3600000e+02	8.4541726e-01	-1.3600000e+02	8.4472197e-01	-1.3600000e+02	6.2053484e-01	-1.3600000e+02	5.4406148e-01	-1.3600000e+02	4.7625411e-01	-1.3600000e+02	5.2982157e-01	-1.3600000e+02	5.2082390e-01	-1.3600000e+02	5.1779735e-01	1.8500000e+01	1.4042000e+00
-1.3500000e+02	8.4206146e-01	-1.3500000e+02	8.4139174e-01	-1.3500000e+02	6.1495072e-01	-1.3500000e+02	5.3762490e-01	-1.3500000e+02	4.6935067e-01	-1.3500000e+02	5.2377754e-01	-1.3500000e+02	5.1463532e-01	-1.3500000e+02	5.1157808e-01	1.9000000e+01	1.3789001e+00
-1.3400000e+02	8.3758289e-01	-1.3400000e+02	8.3693862e-01	-1.3400000e+02	6.0860962e-01	-1.3400000e+02	5.3055334e-01	-1.3400000e+02	4.6189669e-01	-1.3400000e+02	5.1708674e-01	-1.3400000e+02	5.0781679e-01	-1.3400000e+02	5.0473362e-01	1.9500000e+01	1.3566000e+00
-1.3300000e+02	8.3199042e-01	-1.3300000e+02	8.3137143e-01	-1.3300000e+02	6.0153282e-01	-1.3300000e+02	5.2287304e-01	-1.3300000e+02	4.5392331e-01	-1.3300000e+02	5.0977665e-01	-1.3300000e+02	5.0039619e-01	-1.3300000e+02	4.9729204e-01	2.0000000e+01	1.3380001e+00
-1.3200000e+02	8.2529449e-01	-1.3200000e+02	8.2470053e-01	-1.3200000e+02	5.9374219e-01	-1.3200000e+02	5.1461035e-01	-1.3200000e+02	4.4546163e-01	-1.3200000e+02	5.0187486e-01	-1.3200000e+02	4.9240157e-01	-1.3200000e+02	4.8928148e-01	END	END
-1.3100000e+02	8.1750727e-01	-1.3100000e+02	8.1693804e-01	-1.3100000e+02	5.8525997e-01	-1.3100000e+02	5.0579178e-01	-1.3100000e+02	4.3654251e-01	-1.3100000e+02	4.9340922e-01	-1.3100000e+02	4.8386106e-01	-1.3100000e+02	4.8073009e-01	END	END
-1.3000000e+02	8.0864227e-01	-1.3000000e+02	8.0809742e-01	-1.3000000e+02	5.7610893e-01	-1.3000000e+02	4.9644390e-01	-1.3000000e+02	4.2719656e-01	-1.3000000e+02	4.8440731e-01	-1.3000000e+02	4.7480276e-01	-1.3000000e+02	4.7166604e-01	END	END
-1.2900000e+02	7.9871464e-01	-1.2900000e+02	7.9819393e-01	-1.2900000e+02	5.6631207e-01	-1.2900000e+02	4.8659310e-01	-1.2900000e+02	4.1745391e-01	-1.2900000e+02	4.7489676e-01	-1.2900000e+02	4.6525458e-01	-1.2900000e+02	4.6211728e-01	END	END
