# Export File Created with QBlade CE v2.0.8.6_beta windows on 14.04.2025 at 14:00:20
E63__(4.25%)_Re0.250_M0.00_N9.0 360 M	E63__(4.25%)_Re0.250_M0.00_N9.0
Angle of Attack [deg]	Drag Coefficient Cd [-]	Angle of Attack [deg]	Drag Coefficient Cd [-]
-1.8000000e+02	6.0000033e-03	-4.0000000e+00	7.1079999e-02
-1.7900000e+02	6.5383408e-03	-3.5000000e+00	6.2160000e-02
-1.7800000e+02	8.1510274e-03	-3.0000000e+00	5.3029999e-02
-1.7700000e+02	1.0833596e-02	-2.5000000e+00	4.6340000e-02
-1.7600000e+02	1.4580285e-02	-2.0000000e+00	3.5270002e-02
-1.7500000e+02	1.9384053e-02	-1.5000000e+00	2.7330000e-02
-1.7400000e+02	2.5236584e-02	-1.0000000e+00	2.2650000e-02
-1.7300000e+02	3.2128312e-02	-5.0000000e-01	1.6780000e-02
-1.7200000e+02	4.0048428e-02	0.0000000e+00	1.4520000e-02
-1.7100000e+02	4.8984904e-02	5.0000000e-01	1.3140000e-02
-1.7000000e+02	5.8924507e-02	1.5000000e+00	1.2300000e-02
-1.6900000e+02	6.9852829e-02	2.0000000e+00	1.1370000e-02
-1.6800000e+02	8.1754282e-02	2.5000000e+00	9.0500005e-03
-1.6700000e+02	9.4612166e-02	3.0000000e+00	8.8200001e-03
-1.6600000e+02	1.0840865e-01	3.5000000e+00	1.0220000e-02
-1.6500000e+02	1.2312482e-01	4.0000000e+00	1.1990000e-02
-1.6400000e+02	1.3874070e-01	4.5000000e+00	1.4100000e-02
-1.6300000e+02	1.5523528e-01	5.0000000e+00	1.7969999e-02
-1.6200000e+02	1.7258655e-01	5.5000000e+00	2.0210000e-02
-1.6100000e+02	1.9077149e-01	6.5000000e+00	2.8899999e-02
-1.6000000e+02	2.0976621e-01	7.0000000e+00	3.5730001e-02
-1.5900000e+02	2.2954585e-01	7.5000000e+00	4.4629999e-02
-1.5800000e+02	2.5008467e-01	8.0000000e+00	5.4740001e-02
-1.5700000e+02	2.7135611e-01	8.5000000e+00	6.4920001e-02
-1.5600000e+02	2.9333276e-01	1.0500000e+01	1.0666000e-01
-1.5500000e+02	3.1598648e-01	1.6000000e+01	2.6945001e-01
-1.5400000e+02	3.3928838e-01	END	END
-1.5300000e+02	3.6320883e-01	END	END
-1.5200000e+02	3.8771757e-01	END	END
-1.5100000e+02	4.1278374e-01	END	END
-1.5000000e+02	4.3837577e-01	END	END
-1.4900000e+02	4.6446171e-01	END	END
-1.4800000e+02	4.9100894e-01	END	END
-1.4700000e+02	5.1798445e-01	END	END
-1.4600000e+02	5.4535484e-01	END	END
-1.4500000e+02	5.7308620e-01	END	END
-1.4400000e+02	6.0114437e-01	END	END
-1.4300000e+02	6.2949479e-01	END	END
-1.4200000e+02	6.5810275e-01	END	END
-1.4100000e+02	6.8693328e-01	END	END
-1.4000000e+02	7.1595109e-01	END	END
-1.3900000e+02	7.4512088e-01	END	END
-1.3800000e+02	7.7440727e-01	END	END
-1.3700000e+02	8.0377471e-01	END	END
-1.3600000e+02	8.3318770e-01	END	END
-1.3500000e+02	8.6261076e-01	END	END
-1.3400000e+02	8.9200842e-01	END	END
-1.3300000e+02	9.2134529e-01	END	END
-1.3200000e+02	9.5058626e-01	END	END
-1.3100000e+02	9.7969633e-01	END	END
-1.3000000e+02	1.0086406e+00	END	END
-1.2900000e+02	1.0373846e+00	END	END
-1.2800000e+02	1.0658940e+00	END	END
-1.2700000e+02	1.0941350e+00	END	END
-1.2600000e+02	1.1220741e+00	END	END
-1.2500000e+02	1.1496781e+00	END	END
-1.2400000e+02	1.1769143e+00	END	END
-1.2300000e+02	1.2037505e+00	END	END
-1.2200000e+02	1.2301551e+00	END	END
-1.2100000e+02	1.2560970e+00	END	END
-1.2000000e+02	1.2815455e+00	END	END
-1.1900000e+02	1.3064709e+00	END	END
-1.1800000e+02	1.3308438e+00	END	END
-1.1700000e+02	1.3546356e+00	END	END
-1.1600000e+02	1.3778185e+00	END	END
-1.1500000e+02	1.4003654e+00	END	END
-1.1400000e+02	1.4222498e+00	END	END
-1.1300000e+02	1.4434463e+00	END	END
-1.1200000e+02	1.4639300e+00	END	END
-1.1100000e+02	1.4836773e+00	END	END
-1.1000000e+02	1.5026650e+00	END	END
-1.0900000e+02	1.5208712e+00	END	END
-1.0800000e+02	1.5382745e+00	END	END
-1.0700000e+02	1.5548548e+00	END	END
-1.0600000e+02	1.5705929e+00	END	END
-1.0500000e+02	1.5854706e+00	END	END
-1.0400000e+02	1.5994704e+00	END	END
-1.0300000e+02	1.6125764e+00	END	END
-1.0200000e+02	1.6247731e+00	END	END
-1.0100000e+02	1.6360468e+00	END	END
-1.0000000e+02	1.6463841e+00	END	END
-9.9000000e+01	1.6557733e+00	END	END
-9.8000000e+01	1.6642033e+00	END	END
-9.7000000e+01	1.6716646e+00	END	END
-9.6000000e+01	1.6781485e+00	END	END
-9.5000000e+01	1.6836474e+00	END	END
-9.4000000e+01	1.6881552e+00	END	END
-9.3000000e+01	1.6916665e+00	END	END
-9.2000000e+01	1.6941773e+00	END	END
-9.1000000e+01	1.6956847e+00	END	END
-9.0000000e+01	1.6961870e+00	END	END
-8.9000000e+01	1.6956836e+00	END	END
-8.8000000e+01	1.6941750e+00	END	END
-8.7000000e+01	1.6916630e+00	END	END
-8.6000000e+01	1.6881506e+00	END	END
-8.5000000e+01	1.6836417e+00	END	END
-8.4000000e+01	1.6781415e+00	END	END
