# Export File Created with QBlade CE v2.0.8.6_beta windows on 14.04.2025 at 13:56:35
E63__(4.25%)_Re0.020_M0.00_N9.0 360 M	E63__(4.25%)_Re0.020_M0.00_N9.0
Angle of Attack [deg]	Drag Coefficient Cd [-]	Angle of Attack [deg]	Drag Coefficient Cd [-]
-1.8000000e+02	6.0000080e-03	-4.0000000e+00	5.5070002e-02
-1.7900000e+02	6.5383455e-03	-3.5000000e+00	5.2430000e-02
-1.7800000e+02	8.1510311e-03	-3.0000000e+00	5.4749999e-02
-1.7700000e+02	1.0833598e-02	-2.0000000e+00	5.8070000e-02
-1.7600000e+02	1.4580285e-02	-1.5000000e+00	5.8329999e-02
-1.7500000e+02	1.9384051e-02	-1.0000000e+00	4.9160000e-02
-1.7400000e+02	2.5236579e-02	0.0000000e+00	3.4820002e-02
-1.7300000e+02	3.2128301e-02	5.0000000e-01	3.0640000e-02
-1.7200000e+02	4.0048413e-02	1.0000000e+00	3.1780001e-02
-1.7100000e+02	4.8984881e-02	1.5000000e+00	3.3119999e-02
-1.7000000e+02	5.8924478e-02	2.0000000e+00	3.4680001e-02
-1.6900000e+02	6.9852784e-02	2.5000000e+00	3.6499999e-02
-1.6800000e+02	8.1754230e-02	3.0000000e+00	3.8649999e-02
-1.6700000e+02	9.4612107e-02	3.5000000e+00	4.1189998e-02
-1.6600000e+02	1.0840858e-01	4.0000000e+00	4.4240002e-02
-1.6500000e+02	1.2312473e-01	4.5000000e+00	4.7839999e-02
-1.6400000e+02	1.3874060e-01	5.0000000e+00	5.2239999e-02
-1.6300000e+02	1.5523516e-01	5.5000000e+00	5.7510000e-02
-1.6200000e+02	1.7258641e-01	6.0000000e+00	6.3720003e-02
-1.6100000e+02	1.9077134e-01	6.5000000e+00	7.0850000e-02
-1.6000000e+02	2.0976605e-01	7.0000000e+00	8.0329999e-02
-1.5900000e+02	2.2954565e-01	7.5000000e+00	6.6110000e-02
-1.5800000e+02	2.5008443e-01	8.0000000e+00	7.7629998e-02
-1.5700000e+02	2.7135584e-01	9.5000000e+00	1.1407000e-01
-1.5600000e+02	2.9333249e-01	1.0000000e+01	1.2932000e-01
-1.5500000e+02	3.1598616e-01	1.0500000e+01	1.4805000e-01
-1.5400000e+02	3.3928803e-01	1.1000000e+01	1.6147000e-01
-1.5300000e+02	3.6320844e-01	1.2000000e+01	1.8533000e-01
-1.5200000e+02	3.8771716e-01	1.5000000e+01	2.4976000e-01
-1.5100000e+02	4.1278327e-01	END	END
-1.5000000e+02	4.3837529e-01	END	END
-1.4900000e+02	4.6446115e-01	END	END
-1.4800000e+02	4.9100834e-01	END	END
-1.4700000e+02	5.1798379e-01	END	END
-1.4600000e+02	5.4535413e-01	END	END
-1.4500000e+02	5.7308543e-01	END	END
-1.4400000e+02	6.0114354e-01	END	END
-1.4300000e+02	6.2949389e-01	END	END
-1.4200000e+02	6.5810180e-01	END	END
-1.4100000e+02	6.8693221e-01	END	END
-1.4000000e+02	7.1594995e-01	END	END
-1.3900000e+02	7.4511969e-01	END	END
-1.3800000e+02	7.7440602e-01	END	END
-1.3700000e+02	8.0377334e-01	END	END
-1.3600000e+02	8.3318627e-01	END	END
-1.3500000e+02	8.6260921e-01	END	END
-1.3400000e+02	8.9200670e-01	END	END
-1.3300000e+02	9.2134351e-01	END	END
-1.3200000e+02	9.5058435e-01	END	END
-1.3100000e+02	9.7969425e-01	END	END
-1.3000000e+02	1.0086384e+00	END	END
-1.2900000e+02	1.0373822e+00	END	END
-1.2800000e+02	1.0658916e+00	END	END
-1.2700000e+02	1.0941324e+00	END	END
-1.2600000e+02	1.1220714e+00	END	END
-1.2500000e+02	1.1496751e+00	END	END
-1.2400000e+02	1.1769111e+00	END	END
-1.2300000e+02	1.2037472e+00	END	END
-1.2200000e+02	1.2301517e+00	END	END
-1.2100000e+02	1.2560933e+00	END	END
-1.2000000e+02	1.2815416e+00	END	END
-1.1900000e+02	1.3064667e+00	END	END
-1.1800000e+02	1.3308394e+00	END	END
-1.1700000e+02	1.3546309e+00	END	END
-1.1600000e+02	1.3778136e+00	END	END
-1.1500000e+02	1.4003601e+00	END	END
-1.1400000e+02	1.4222443e+00	END	END
-1.1300000e+02	1.4434404e+00	END	END
-1.1200000e+02	1.4639239e+00	END	END
-1.1100000e+02	1.4836708e+00	END	END
-1.1000000e+02	1.5026582e+00	END	END
-1.0900000e+02	1.5208640e+00	END	END
-1.0800000e+02	1.5382669e+00	END	END
-1.0700000e+02	1.5548469e+00	END	END
-1.0600000e+02	1.5705845e+00	END	END
-1.0500000e+02	1.5854617e+00	END	END
-1.0400000e+02	1.5994611e+00	END	END
-1.0300000e+02	1.6125666e+00	END	END
-1.0200000e+02	1.6247629e+00	END	END
-1.0100000e+02	1.6360359e+00	END	END
-1.0000000e+02	1.6463727e+00	END	END
-9.9000000e+01	1.6557612e+00	END	END
-9.8000000e+01	1.6641908e+00	END	END
-9.7000000e+01	1.6716514e+00	END	END
-9.6000000e+01	1.6781346e+00	END	END
-9.5000000e+01	1.6836329e+00	END	END
-9.4000000e+01	1.6881398e+00	END	END
-9.3000000e+01	1.6916503e+00	END	END
-9.2000000e+01	1.6941602e+00	END	END
-9.1000000e+01	1.6956668e+00	END	END
-9.0000000e+01	1.6961682e+00	END	END
-8.9000000e+01	1.6956637e+00	END	END
-8.8000000e+01	1.6941541e+00	END	END
