# Export File Created with QBlade CE v2.0.8.6_beta windows on 14.04.2025 at 14:01:09
E63__(4.25%)_Re0.250_M0.00_N9.0 360 M	E63__(4.25%)_Re0.250_M0.00_N9.0
Angle of Attack [deg]	Lift Coefficient Cl [-]	Angle of Attack [deg]	Lift Coefficient Cl [-]
-1.8000000e+02	-8.7264426e-02	-4.0000000e+00	-2.3029999e-01
-1.7900000e+02	1.1271726e-01	-3.5000000e+00	-1.4640000e-01
-1.7800000e+02	2.9061592e-01	-3.0000000e+00	-1.8500000e-02
-1.7700000e+02	4.0968037e-01	-2.5000000e+00	8.4100001e-02
-1.7600000e+02	4.4857484e-01	-2.0000000e+00	1.8709999e-01
-1.7500000e+02	4.2883310e-01	-1.5000000e+00	3.1240001e-01
-1.7400000e+02	3.8892809e-01	-1.0000000e+00	4.1400000e-01
-1.7300000e+02	3.5292777e-01	-5.0000000e-01	5.2410001e-01
-1.7200000e+02	3.2838961e-01	0.0000000e+00	6.1849999e-01
-1.7100000e+02	3.1497684e-01	5.0000000e-01	6.8330002e-01
-1.7000000e+02	3.1015694e-01	1.5000000e+00	8.2900000e-01
-1.6900000e+02	3.1138131e-01	2.0000000e+00	9.1149998e-01
-1.6800000e+02	3.1663427e-01	2.5000000e+00	1.0032001e+00
-1.6700000e+02	3.2444257e-01	3.0000000e+00	1.0990000e+00
-1.6600000e+02	3.3375829e-01	3.5000000e+00	1.1413000e+00
-1.6500000e+02	3.4384084e-01	4.0000000e+00	1.1742001e+00
-1.6400000e+02	3.5416555e-01	4.5000000e+00	1.2086999e+00
-1.6300000e+02	3.6435896e-01	5.0000000e+00	1.2376000e+00
-1.6200000e+02	3.7415376e-01	5.5000000e+00	1.2785000e+00
-1.6100000e+02	3.8335836e-01	6.5000000e+00	1.3622000e+00
-1.6000000e+02	3.9183584e-01	7.0000000e+00	1.3993000e+00
-1.5900000e+02	3.9948928e-01	7.5000000e+00	1.4270000e+00
-1.5800000e+02	4.0625173e-01	8.0000000e+00	1.4342000e+00
-1.5700000e+02	4.1207886e-01	8.5000000e+00	1.4200000e+00
-1.5600000e+02	4.1694382e-01	1.0500000e+01	1.2660000e+00
-1.5500000e+02	4.2083356e-01	1.6000000e+01	1.1892000e+00
-1.5400000e+02	4.2374581e-01	END	END
-1.5300000e+02	4.2568722e-01	END	END
-1.5200000e+02	4.2667148e-01	END	END
-1.5100000e+02	4.2671829e-01	END	END
-1.5000000e+02	4.2585227e-01	END	END
-1.4900000e+02	4.2410210e-01	END	END
-1.4800000e+02	4.2149997e-01	END	END
-1.4700000e+02	4.1808093e-01	END	END
-1.4600000e+02	4.1388243e-01	END	END
-1.4500000e+02	4.0894395e-01	END	END
-1.4400000e+02	4.0330666e-01	END	END
-1.4300000e+02	3.9701292e-01	END	END
-1.4200000e+02	3.9010617e-01	END	END
-1.4100000e+02	3.8263065e-01	END	END
-1.4000000e+02	3.7463096e-01	END	END
-1.3900000e+02	3.6615208e-01	END	END
-1.3800000e+02	3.5723892e-01	END	END
-1.3700000e+02	3.4793630e-01	END	END
-1.3600000e+02	3.3828866e-01	END	END
-1.3500000e+02	3.2833990e-01	END	END
-1.3400000e+02	3.1813315e-01	END	END
-1.3300000e+02	3.0771074e-01	END	END
-1.3200000e+02	2.9711393e-01	END	END
-1.3100000e+02	2.8638279e-01	END	END
-1.3000000e+02	2.7555618e-01	END	END
-1.2900000e+02	2.6467142e-01	END	END
-1.2800000e+02	2.5376439e-01	END	END
-1.2700000e+02	2.4286930e-01	END	END
-1.2600000e+02	2.3201862e-01	END	END
-1.2500000e+02	2.2124301e-01	END	END
-1.2400000e+02	2.1057124e-01	END	END
-1.2300000e+02	2.0003015e-01	END	END
-1.2200000e+02	1.8964455e-01	END	END
-1.2100000e+02	1.7943722e-01	END	END
-1.2000000e+02	1.6942883e-01	END	END
-1.1900000e+02	1.5963796e-01	END	END
-1.1800000e+02	1.5008107e-01	END	END
-1.1700000e+02	1.4077246e-01	END	END
-1.1600000e+02	1.3172431e-01	END	END
-1.1500000e+02	1.2294670e-01	END	END
-1.1400000e+02	1.1444757e-01	END	END
-1.1300000e+02	1.0623281e-01	END	END
-1.1200000e+02	9.8306283e-02	END	END
-1.1100000e+02	9.0036243e-02	END	END
-1.1000000e+02	8.2709827e-02	END	END
-1.0900000e+02	7.5670160e-02	END	END
-1.0800000e+02	6.8913557e-02	END	END
-1.0700000e+02	6.2434550e-02	END	END
-1.0600000e+02	5.6226030e-02	END	END
-1.0500000e+02	5.0279286e-02	END	END
-1.0400000e+02	4.4584118e-02	END	END
-1.0300000e+02	3.9128926e-02	END	END
-1.0200000e+02	3.3900812e-02	END	END
-1.0100000e+02	2.8885677e-02	END	END
-1.0000000e+02	2.4068337e-02	END	END
-9.9000000e+01	1.9432623e-02	END	END
-9.8000000e+01	1.4961497e-02	END	END
-9.7000000e+01	1.0637171e-02	END	END
-9.6000000e+01	6.4412137e-03	END	END
-9.5000000e+01	2.3546761e-03	END	END
-9.4000000e+01	-1.6417967e-03	END	END
-9.3000000e+01	-5.5678454e-03	END	END
-9.2000000e+01	-9.4432794e-03	END	END
-9.1000000e+01	-1.3287961e-02	END	END
-9.0000000e+01	-1.7121686e-02	END	END
-8.9000000e+01	-2.0964073e-02	END	END
-8.8000000e+01	-2.4834454e-02	END	END
-8.7000000e+01	-2.8751757e-02	END	END
-8.6000000e+01	-3.2734405e-02	END	END
-8.5000000e+01	-3.6800209e-02	END	END
-8.4000000e+01	-4.0966272e-02	END	END
-8.3000000e+01	-4.5248885e-02	END	END
-8.2000000e+01	-4.9663439e-02	END	END
-8.1000000e+01	-5.4224342e-02	END	END
-8.0000000e+01	-5.8944922e-02	END	END
-7.9000000e+01	-6.3837364e-02	END	END
-7.8000000e+01	-6.8912618e-02	END	END
-7.7000000e+01	-7.4180357e-02	END	END
-7.6000000e+01	-7.9648890e-02	END	END
-7.5000000e+01	-8.5325114e-02	END	END
-7.4000000e+01	-9.1214471e-02	END	END
-7.3000000e+01	-9.7320899e-02	END	END
-7.2000000e+01	-1.0364677e-01	END	END
-7.1000000e+01	-1.1019290e-01	END	END
-7.0000000e+01	-1.1695849e-01	END	END
-6.9000000e+01	-1.2394113e-01	END	END
-6.8000000e+01	-1.3113675e-01	END	END
-6.7000000e+01	-1.3853964e-01	END	END
-6.6000000e+01	-1.4614247e-01	END	END
-6.5000000e+01	-1.5393622e-01	END	END
-6.4000000e+01	-1.6191031e-01	END	END
-6.3000000e+01	-1.7005245e-01	END	END
-6.2000000e+01	-1.7834887e-01	END	END
-6.1000000e+01	-1.8678415e-01	END	END
-6.0000000e+01	-1.9534139e-01	END	END
-5.9000000e+01	-2.0400220e-01	END	END
-5.8000000e+01	-2.1274677e-01	END	END
-5.7000000e+01	-2.2155386e-01	END	END
-5.6000000e+01	-2.3040096e-01	END	END
-5.5000000e+01	-2.3926426e-01	END	END
-5.4000000e+01	-2.4811876e-01	END	END
-5.3000000e+01	-2.5693837e-01	END	END
-5.2000000e+01	-2.6569587e-01	END	END
-5.1000000e+01	-2.7436322e-01	END	END
-5.0000000e+01	-2.8291139e-01	END	END
-4.9000000e+01	-2.9131061e-01	END	END
-4.8000000e+01	-2.9953042e-01	END	END
-4.7000000e+01	-3.0753985e-01	END	END
-4.6000000e+01	-3.1530735e-01	END	END
-4.5000000e+01	-3.2280108e-01	END	END
-4.4000000e+01	-3.2998899e-01	END	END
-4.3000000e+01	-3.3683887e-01	END	END
-4.2000000e+01	-3.4331855e-01	END	END
-4.1000000e+01	-3.4939611e-01	END	END
-4.0000000e+01	-3.5503989e-01	END	END
-3.9000000e+01	-3.6021873e-01	END	END
-3.8000000e+01	-3.6490226e-01	END	END
-3.7000000e+01	-3.6906093e-01	END	END
-3.6000000e+01	-3.7266642e-01	END	END
-3.5000000e+01	-3.7569174e-01	END	END
-3.4000000e+01	-3.7811184e-01	END	END
-3.3000000e+01	-3.7990367e-01	END	END
-3.2000000e+01	-3.8104692e-01	END	END
-3.1000000e+01	-3.8152456e-01	END	END
-3.0000000e+01	-3.8132358e-01	END	END
-2.9000000e+01	-3.8043594e-01	END	END
-2.8000000e+01	-3.7886015e-01	END	END
